left_daughter right_daughter split_var split_point status prediction
2 3 2 160 1 0
4 5 17 98.33333 1 0
6 7 17 31.94445 1 0
8 9 18 0.6547451 1 0
0 0 0 0 -1 6
0 0 0 0 -1 4
0 0 0 0 -1 5
10 11 19 -1.789334 1 0
12 13 19 -2.064274 1 0
14 15 16 -12.55556 1 0
16 17 18 0.272502 1 0
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 2
18 19 5 0.05555555 1 0
20 21 14 -0.9444444 1 0
0 0 0 0 -1 1
22 23 1 38 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 7
24 25 13 5.833334 1 0
26 27 11 24.88889 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 7
0 0 0 0 -1 2

2 3 10 79.03704 1 0
4 5 2 160 1 0
0 0 0 0 -1 6
6 7 17 40.44445 1 0
8 9 19 -0.1082052 1 0
10 11 18 0.8884252 1 0
12 13 6 23.02778 1 0
0 0 0 0 -1 5
0 0 0 0 -1 4
14 15 1 151 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 3
16 17 19 -1.999423 1 0
18 19 2 157 1 0
20 21 9 0.3966843 1 0
22 23 1 147.5 1 0
0 0 0 0 -1 7
0 0 0 0 -1 2
0 0 0 0 -1 7
24 25 2 135.5 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2

2 3 19 0.8783226 1 0
4 5 2 160 1 0
0 0 0 0 -1 4
6 7 14 -27.27778 1 0
0 0 0 0 -1 5
0 0 0 0 -1 6
8 9 13 21.94444 1 0
10 11 1 151 1 0
12 13 8 17.91667 1 0
14 15 19 -1.854676 1 0
0 0 0 0 -1 7
16 17 8 0.611111 1 0
0 0 0 0 -1 3
18 19 19 -2.137718 1 0
0 0 0 0 -1 1
0 0 0 0 -1 7
0 0 0 0 -1 2
0 0 0 0 -1 3
20 21 16 -2.055556 1 0
22 23 2 155 1 0
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 2

2 3 2 160 1 0
4 5 11 66.66667 1 0
6 7 11 21.77778 1 0
8 9 13 21.94444 1 0
0 0 0 0 -1 6
0 0 0 0 -1 4
0 0 0 0 -1 5
10 11 19 -1.996655 1 0
12 13 8 17.91667 1 0
14 15 19 -2.137718 1 0
16 17 18 0.1844242 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 3
18 19 18 0.9888889 1 0
0 0 0 0 -1 7
0 0 0 0 -1 1
20 21 4 0.05555555 1 0
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 2

2 3 16 0.8888889 1 0
4 5 2 160 1 0
0 0 0 0 -1 4
6 7 10 28.90741 1 0
0 0 0 0 -1 5
8 9 16 -13.33333 1 0
10 11 13 61.33333 1 0
12 13 2 118 1 0
14 15 1 141 1 0
0 0 0 0 -1 2
16 17 11 73.94445 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
18 19 18 0.6456422 1 0
20 21 2 156.5 1 0
0 0 0 0 -1 3
0 0 0 0 -1 6
22 23 6 1.222222 1 0
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 7

2 3 2 159.5 1 0
4 5 13 72.5 1 0
6 7 11 21.77778 1 0
8 9 19 -1.819899 1 0
0 0 0 0 -1 6
0 0 0 0 -1 4
0 0 0 0 -1 5
10 11 17 38.44445 1 0
12 13 1 167 1 0
14 15 16 -5.722222 1 0
16 17 6 23.02778 1 0
0 0 0 0 -1 1
0 0 0 0 -1 7
18 19 2 139.5 1 0
20 21 19 -2.082818 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
22 23 15 33.88889 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
24 25 11 2.222222 1 0
0 0 0 0 -1 7
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 1

2 3 15 -0.1666667 1 0
0 0 0 0 -1 4
4 5 2 160 1 0
6 7 14 -27.66667 1 0
0 0 0 0 -1 5
0 0 0 0 -1 6
8 9 12 40.16667 1 0
10 11 1 148.5 1 0
0 0 0 0 -1 2
12 13 19 -1.930503 1 0
14 15 2 157 1 0
16 17 10 19.64815 1 0
0 0 0 0 -1 1
18 19 7 0.1699065 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 7
20 21 9 0.1055555 1 0
0 0 0 0 -1 7
0 0 0 0 -1 7
0 0 0 0 -1 3

2 3 2 159.5 1 0
4 5 10 75.0926 1 0
6 7 11 21.77778 1 0
8 9 19 -1.831093 1 0
0 0 0 0 -1 6
0 0 0 0 -1 4
0 0 0 0 -1 5
10 11 11 0.8333333 1 0
12 13 1 167 1 0
0 0 0 0 -1 3
14 15 16 -13.11111 1 0
16 17 17 43.16666 1 0
0 0 0 0 -1 7
18 19 10 24.07407 1 0
20 21 6 5.083334 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
22 23 1 38 1 0
0 0 0 0 -1 3
24 25 16 -6.555556 1 0
26 27 2 156.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 7
0 0 0 0 -1 2

2 3 16 0.8888889 1 0
4 5 12 98.33333 1 0
0 0 0 0 -1 4
6 7 2 160 1 0
0 0 0 0 -1 6
8 9 19 -1.789334 1 0
0 0 0 0 -1 5
10 11 18 0.2946226 1 0
12 13 16 -2.555556 1 0
0 0 0 0 -1 2
14 15 19 -2.094349 1 0
0 0 0 0 -1 1
0 0 0 0 -1 7
16 17 16 -8.777778 1 0
18 19 18 0.6002806 1 0
20 21 15 30.27778 1 0
22 23 2 60.5 1 0
24 25 10 6.944445 1 0
0 0 0 0 -1 7
0 0 0 0 -1 7
26 27 8 1.25 1 0
0 0 0 0 -1 7
0 0 0 0 -1 3
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 3

2 3 11 67 1 0
4 5 8 0.6666667 1 0
0 0 0 0 -1 6
6 7 14 2.444444 1 0
8 9 2 160 1 0
10 11 18 0.8638889 1 0
0 0 0 0 -1 1
12 13 19 -1.789334 1 0
14 15 19 0.00496565 1 0
0 0 0 0 -1 7
16 17 16 -3.333333 1 0
18 19 19 -2.109104 1 0
20 21 18 0.2832958 1 0
0 0 0 0 -1 5
0 0 0 0 -1 4
0 0 0 0 -1 3
0 0 0 0 -1 7
22 23 15 46.11111 1 0
24 25 16 -6.333333 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 16 0.8888889 1 0
4 5 2 157 1 0
0 0 0 0 -1 4
6 7 12 98.33333 1 0
0 0 0 0 -1 5
8 9 12 38.38889 1 0
0 0 0 0 -1 6
10 11 1 148.5 1 0
12 13 7 295.1796 1 0
14 15 19 -2.089644 1 0
0 0 0 0 -1 7
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 3
16 17 19 -1.894628 1 0
0 0 0 0 -1 7
0 0 0 0 -1 1

2 3 19 0.8783226 1 0
4 5 2 160 1 0
0 0 0 0 -1 4
6 7 10 24.98148 1 0
0 0 0 0 -1 5
8 9 18 0.6547451 1 0
10 11 13 61.33333 1 0
12 13 1 151 1 0
14 15 7 0.02407408 1 0
0 0 0 0 -1 2
16 17 19 -2.415073 1 0
18 19 19 -1.843482 1 0
0 0 0 0 -1 7
0 0 0 0 -1 7
0 0 0 0 -1 3
0 0 0 0 -1 3
0 0 0 0 -1 6
20 21 8 1.305556 1 0
0 0 0 0 -1 1
22 23 1 38 1 0
0 0 0 0 -1 2
24 25 2 135.5 1 0
0 0 0 0 -1 7
0 0 0 0 -1 3
0 0 0 0 -1 1

2 3 17 101.7778 1 0
4 5 16 3.555556 1 0
0 0 0 0 -1 6
6 7 13 21.61111 1 0
0 0 0 0 -1 4
8 9 1 153.5 1 0
10 11 2 160 1 0
12 13 19 -1.859781 1 0
0 0 0 0 -1 7
14 15 19 -2.299231 1 0
0 0 0 0 -1 5
16 17 18 0.529321 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
18 19 9 0.3547066 1 0
20 21 15 17.05556 1 0
22 23 7 0.02407408 1 0
0 0 0 0 -1 7
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 7
0 0 0 0 -1 7
0 0 0 0 -1 3

2 3 17 101.7778 1 0
4 5 2 160 1 0
0 0 0 0 -1 6
6 7 8 0.6666667 1 0
8 9 11 25.77778 1 0
10 11 1 36 1 0
12 13 19 -1.789334 1 0
0 0 0 0 -1 4
0 0 0 0 -1 5
0 0 0 0 -1 1
0 0 0 0 -1 7
14 15 19 -2.117252 1 0
16 17 10 36.51852 1 0
18 19 17 79.05556 1 0
20 21 11 6.166667 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
22 23 2 150.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 7

2 3 2 160 1 0
4 5 17 40.16667 1 0
6 7 15 9.666666 1 0
8 9 1 151 1 0
10 11 10 66.57407 1 0
0 0 0 0 -1 4
0 0 0 0 -1 5
12 13 19 -1.999423 1 0
14 15 18 0.8638889 1 0
0 0 0 0 -1 2
16 17 8 23.44445 1 0
18 19 11 0.8333333 1 0
20 21 1 147.5 1 0
22 23 2 157 1 0
24 25 11 0.1666667 1 0
0 0 0 0 -1 6
0 0 0 0 -1 3
0 0 0 0 -1 3
26 27 9 0.5851854 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 7
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 7
28 29 15 22.33333 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3

2 3 16 0.8888889 1 0
4 5 2 160 1 0
0 0 0 0 -1 4
6 7 19 -1.789334 1 0
0 0 0 0 -1 5
8 9 10 79.03704 1 0
10 11 19 -0.28547 1 0
12 13 18 0.3011366 1 0
0 0 0 0 -1 6
0 0 0 0 -1 1
0 0 0 0 -1 7
0 0 0 0 -1 2
14 15 19 -2.216964 1 0
0 0 0 0 -1 3
16 17 18 0.8884252 1 0
18 19 11 30.38889 1 0
0 0 0 0 -1 3
20 21 9 0.151852 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 7

2 3 16 0.8888889 1 0
4 5 13 73.88889 1 0
0 0 0 0 -1 4
6 7 17 40.16667 1 0
0 0 0 0 -1 6
