left_daughter right_daughter split_var split_point status prediction
2 3 10 25.77778 1 0
4 5 16 0.8888889 1 0
6 7 11 76.94445 1 0
8 9 14 -1.5 1 0
0 0 0 0 -1 4
10 11 2 160 1 0
0 0 0 0 -1 6
12 13 1 168 1 0
14 15 11 3.611111 1 0
16 17 5 0.05555555 1 0
0 0 0 0 -1 5
18 19 2 145.5 1 0
0 0 0 0 -1 7
0 0 0 0 -1 7
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 3
20 21 8 0.6388889 1 0
0 0 0 0 -1 2
22 23 9 0.2481481 1 0
24 25 18 0.4756659 1 0
0 0 0 0 -1 3
0 0 0 0 -1 7
26 27 11 8.222222 1 0
0 0 0 0 -1 3
0 0 0 0 -1 3
0 0 0 0 -1 2

2 3 19 1.023294 1 0
4 5 19 -1.744138 1 0
0 0 0 0 -1 4
6 7 2 158 1 0
8 9 12 42.77778 1 0
10 11 16 -9.5 1 0
0 0 0 0 -1 5
12 13 6 0.1388889 1 0
0 0 0 0 -1 2
14 15 11 71.66667 1 0
16 17 19 -2.079966 1 0
0 0 0 0 -1 7
0 0 0 0 -1 1
18 19 18 0.5825186 1 0
0 0 0 0 -1 6
20 21 17 114.9444 1 0
0 0 0 0 -1 7
0 0 0 0 -1 2
0 0 0 0 -1 3
22 23 1 146 1 0
0 0 0 0 -1 6
0 0 0 0 -1 3
0 0 0 0 -1 7

2 3 18 0.3259692 1 0
4 5 10 82.53704 1 0
6 7 19 0.547289 1 0
8 9 14 -15 1 0
0 0 0 0 -1 6
10 11 19 -1.776593 1 0
0 0 0 0 -1 4
12 13 8 1.194445 1 0
14 15 8 0.6111106 1 0
16 17 1 146 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 5
0 0 0 0 -1 7
18 19 15 6.055555 1 0
20 21 7 0.02407408 1 0
22 23 18 0.7527778 1 0
24 25 7 1.17963 1 0
26 27 18 0.283167 1 0
0 0 0 0 -1 7
28 29 15 24.22222 1 0
30 31 14 -16.61111 1 0
0 0 0 0 -1 3
0 0 0 0 -1 3
0 0 0 0 -1 4
0 0 0 0 -1 2
0 0 0 0 -1 5
32 33 16 -5.5 1 0
34 35 9 9.026602 1 0
0 0 0 0 -1 2
0 0 0 0 -1 7
0 0 0 0 -1 7
0 0 0 0 -1 3
36 37 13 16.38889 1 0
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 2

2 3 2 160 1 0
4 5 12 102.4444 1 0
6 7 12 32.72222 1 0
8 9 16 -6.444444 1 0
0 0 0 0 -1 6
0 0 0 0 -1 4
0 0 0 0 -1 5
10 11 14 -1.666667 1 0
12 13 8 0.6944444 1 0
14 15 19 -2.272741 1 0
0 0 0 0 -1 1
0 0 0 0 -1 7
16 17 8 0.9722222 1 0
0 0 0 0 -1 3
18 19 6 0.861111 1 0
20 21 6 0.5555556 1 0
0 0 0 0 -1 3
22 23 1 139 1 0
24 25 9 1.587015 1 0
0 0 0 0 -1 7
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 7
