left_daughter right_daughter split_var split_point status prediction
2 3 11 74.27778 1 0
4 5 2 160.5 1 0
0 0 0 0 -1 6
6 7 14 -1.5 1 0
8 9 10 29 1 0
10 11 11 17.27778 1 0
12 13 1 153 1 0
0 0 0 0 -1 4
0 0 0 0 -1 5
14 15 11 0.8333333 1 0
16 17 8 17.91667 1 0
0 0 0 0 -1 1
0 0 0 0 -1 7
18 19 13 0.2777778 1 0
20 21 19 -2.223085 1 0
22 23 11 24.94444 1 0
0 0 0 0 -1 3
24 25 12 2.611111 1 0
0 0 0 0 -1 3
0 0 0 0 -1 3
26 27 6 2.388889 1 0
28 29 19 -1.957419 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 7
30 31 2 141.5 1 0
32 33 13 13.05556 1 0
34 35 6 1.583333 1 0
0 0 0 0 -1 1
0 0 0 0 -1 7
36 37 12 5.777778 1 0
0 0 0 0 -1 7
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 2
0 0 0 0 -1 7
0 0 0 0 -1 1

2 3 12 98.61111 1 0
4 5 19 -1.810617 1 0
0 0 0 0 -1 6
6 7 12 38.44445 1 0
8 9 2 166.5 1 0
10 11 17 10.83333 1 0
12 13 12 58.5 1 0
14 15 18 0.395702 1 0
0 0 0 0 -1 4
16 17 19 -2.141419 1 0
18 19 19 -2.255089 1 0
20 21 16 -13.83333 1 0
22 23 19 -2.103199 1 0
24 25 10 18 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
26 27 11 0.1111111 1 0
0 0 0 0 -1 3
28 29 2 118.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 5
30 31 8 14.22222 1 0
0 0 0 0 -1 5
32 33 12 10.72222 1 0
0 0 0 0 -1 3
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 7
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 1

2 3 13 18.27778 1 0
4 5 16 -7.444444 1 0
6 7 10 87.59259 1 0
8 9 19 -1.871709 1 0
10 11 19 -2.141419 1 0
12 13 10 21.24074 1 0
0 0 0 0 -1 6
14 15 6 5.083334 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
16 17 15 -1.833333 1 0
0 0 0 0 -1 4
18 19 8 2.944445 1 0
0 0 0 0 -1 7
0 0 0 0 -1 3
0 0 0 0 -1 4
20 21 13 1.777778 1 0
22 23 2 165 1 0
24 25 18 0.2717771 1 0
26 27 11 0.1111111 1 0
28 29 14 -4.944444 1 0
30 31 9 0.3547066 1 0
32 33 12 41.94445 1 0
0 0 0 0 -1 2
34 35 2 124 1 0
36 37 6 0.1388889 1 0
0 0 0 0 -1 7
38 39 9 66.73814 1 0
0 0 0 0 -1 1
0 0 0 0 -1 7
40 41 9 1.698149 1 0
0 0 0 0 -1 4
0 0 0 0 -1 5
0 0 0 0 -1 3
0 0 0 0 -1 5
0 0 0 0 -1 7
0 0 0 0 -1 3
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 11 67 1 0
4 5 10 28.90741 1 0
0 0 0 0 -1 6
6 7 16 -12.83333 1 0
8 9 8 2.194444 1 0
0 0 0 0 -1 1
10 11 15 -0.1666667 1 0
12 13 4 0.05555555 1 0
14 15 9 45.82964 1 0
0 0 0 0 -1 4
16 17 2 156.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 5
0 0 0 0 -1 5
0 0 0 0 -1 2
18 19 16 -7.833333 1 0
0 0 0 0 -1 2
20 21 13 3.722222 1 0
22 23 12 7.666667 1 0
0 0 0 0 -1 1
0 0 0 0 -1 7
24 25 14 2.166667 1 0
26 27 6 0.6944444 1 0
28 29 18 0.9276235 1 0
0 0 0 0 -1 1
0 0 0 0 -1 7
0 0 0 0 -1 3
30 31 8 1.25 1 0
32 33 8 0.25 1 0
0 0 0 0 -1 7
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 3

2 3 13 69.33333 1 0
4 5 18 0.3404233 1 0
0 0 0 0 -1 6
6 7 18 0.2735041 1 0
8 9 16 4.611111 1 0
0 0 0 0 -1 2
10 11 8 1.277778 1 0
12 13 1 148.5 1 0
0 0 0 0 -1 4
0 0 0 0 -1 2
14 15 16 -2.611111 1 0
16 17 19 -1.894628 1 0
18 19 19 -1.388952 1 0
20 21 2 133 1 0
0 0 0 0 -1 4
22 23 1 109.5 1 0
24 25 2 136 1 0
26 27 13 20.55556 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 5
28 29 14 -5.666666 1 0
30 31 13 9.555556 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 2
32 33 1 55.5 1 0
0 0 0 0 -1 7
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 3
34 35 16 -10.27778 1 0
0 0 0 0 -1 7
0 0 0 0 -1 3

2 3 2 160.5 1 0
4 5 11 67 1 0
