left_daughter right_daughter split_var split_point status prediction
2 3 10 80.42593 1 0
4 5 19 0.9526513 1 0
0 0 0 0 -1 6
6 7 19 -1.828618 1 0
0 0 0 0 -1 4
8 9 2 153.5 1 0
10 11 16 -7.277778 1 0
12 13 16 -10.94444 1 0
0 0 0 0 -1 5
0 0 0 0 -1 1
14 15 18 0.5565475 1 0
16 17 13 13.66667 1 0
18 19 2 74.5 1 0
0 0 0 0 -1 7
0 0 0 0 -1 1
0 0 0 0 -1 7
0 0 0 0 -1 2
0 0 0 0 -1 7
20 21 2 145.5 1 0
22 23 17 26.88889 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
24 25 5 0.05555555 1 0
0 0 0 0 -1 7
0 0 0 0 -1 3

2 3 16 5.055555 1 0
4 5 13 69.33333 1 0
0 0 0 0 -1 4
6 7 19 -1.828618 1 0
0 0 0 0 -1 6
8 9 16 -10.44444 1 0
10 11 11 2.777778 1 0
12 13 18 0.2732863 1 0
14 15 2 76.5 1 0
0 0 0 0 -1 7
16 17 18 0.3876841 1 0
0 0 0 0 -1 2
18 19 18 0.3201497 1 0
0 0 0 0 -1 7
20 21 2 145.5 1 0
22 23 19 -1.692211 1 0
0 0 0 0 -1 1
0 0 0 0 -1 5
24 25 11 13 1 0
26 27 19 -2.053769 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 7
0 0 0 0 -1 2
28 29 17 30.61111 1 0
0 0 0 0 -1 7
0 0 0 0 -1 3
30 31 8 13.91667 1 0
0 0 0 0 -1 7
0 0 0 0 -1 3

2 3 2 154 1 0
4 5 10 79.03704 1 0
6 7 19 -0.0543109 1 0
8 9 19 -1.831093 1 0
0 0 0 0 -1 6
0 0 0 0 -1 5
0 0 0 0 -1 4
10 11 16 -12.05556 1 0
12 13 17 43.16666 1 0
0 0 0 0 -1 2
14 15 11 0.9444444 1 0
16 17 11 7.055556 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
18 19 1 121.5 1 0
20 21 11 6.166666 1 0
22 23 2 137.5 1 0
24 25 9 0.8589119 1 0
0 0 0 0 -1 7
0 0 0 0 -1 1
0 0 0 0 -1 7
0 0 0 0 -1 1
0 0 0 0 -1 3
26 27 8 1.027778 1 0
0 0 0 0 -1 3
0 0 0 0 -1 7
28 29 4 0.05555555 1 0
0 0 0 0 -1 7
0 0 0 0 -1 2

2 3 11 69.22222 1 0
4 5 12 35.5 1 0
0 0 0 0 -1 6
6 7 2 163 1 0
8 9 6 3.722222 1 0
10 11 19 -2.081479 1 0
0 0 0 0 -1 4
12 13 2 124 1 0
14 15 19 -2.252499 1 0
16 17 10 9.351852 1 0
18 19 16 -7.055556 1 0
0 0 0 0 -1 2
0 0 0 0 -1 5
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 3
20 21 9 1.492592 1 0
22 23 19 -1.65085 1 0
24 25 9 0.2629632 1 0
0 0 0 0 -1 7
0 0 0 0 -1 2
26 27 2 100 1 0
0 0 0 0 -1 1
0 0 0 0 -1 7
28 29 14 1.666667 1 0
30 31 8 1.444445 1 0
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 1
0 0 0 0 -1 7
0 0 0 0 -1 1

2 3 2 157 1 0
4 5 11 66.66667 1 0
6 7 11 20.88889 1 0
8 9 12 38.83333 1 0
0 0 0 0 -1 6
0 0 0 0 -1 4
0 0 0 0 -1 5
10 11 19 -1.65085 1 0
12 13 8 14.33333 1 0
14 15 2 75.5 1 0
16 17 13 1.111111 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 7
18 19 1 235 1 0
0 0 0 0 -1 7
0 0 0 0 -1 1
20 21 7 0.02407408 1 0
0 0 0 0 -1 7
0 0 0 0 -1 7
22 23 19 -2.013817 1 0
0 0 0 0 -1 3
24 25 9 1.466899 1 0
0 0 0 0 -1 7
0 0 0 0 -1 3

2 3 13 72.5 1 0
4 5 2 158 1 0
0 0 0 0 -1 6
6 7 16 -10.94444 1 0
8 9 17 30.27778 1 0
10 11 10 33.62963 1 0
12 13 14 1.611111 1 0
0 0 0 0 -1 4
0 0 0 0 -1 5
14 15 11 16.72222 1 0
0 0 0 0 -1 2
16 17 19 -2.064274 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
18 19 18 0.8363756 1 0
0 0 0 0 -1 7
20 21 9 1.401852 1 0
0 0 0 0 -1 3
22 23 19 -2.117302 1 0
0 0 0 0 -1 3
0 0 0 0 -1 7
24 25 17 8.611111 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2

2 3 10 79.03704 1 0
4 5 2 153.5 1 0
0 0 0 0 -1 6
6 7 19 -1.843424 1 0
8 9 16 -0.277778 1 0
10 11 17 28.55556 1 0
12 13 15 0.1111111 1 0
0 0 0 0 -1 5
0 0 0 0 -1 4
14 15 16 -6.666667 1 0
16 17 6 11.88889 1 0
0 0 0 0 -1 7
18 19 14 -5.222222 1 0
20 21 14 -16.55555 1 0
22 23 19 -2.053769 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
24 25 13 18 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
26 27 4 0.05555555 1 0
28 29 1 28 1 0
0 0 0 0 -1 7
0 0 0 0 -1 3
0 0 0 0 -1 1
0 0 0 0 -1 7
0 0 0 0 -1 2
30 31 16 -4 1 0
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 3

2 3 17 98.61111 1 0
4 5 2 154.5 1 0
0 0 0 0 -1 6
6 7 16 -10 1 0
8 9 10 25.94445 1 0
10 11 15 19.94445 1 0
12 13 19 -2.081479 1 0
0 0 0 0 -1 4
0 0 0 0 -1 5
0 0 0 0 -1 1
14 15 19 -1.831093 1 0
16 17 17 15.22222 1 0
18 19 11 6.833333 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 3
20 21 11 36 1 0
0 0 0 0 -1 7
0 0 0 0 -1 1
0 0 0 0 -1 7
0 0 0 0 -1 3

2 3 16 3.555556 1 0
4 5 13 73.88889 1 0
0 0 0 0 -1 4
6 7 19 -2.173924 1 0
0 0 0 0 -1 6
8 9 16 -11.11111 1 0
10 11 19 -1.831093 1 0
0 0 0 0 -1 5
12 13 1 126 1 0
14 15 9 0.988949 1 0
16 17 16 -2.555556 1 0
0 0 0 0 -1 3
0 0 0 0 -1 5
18 19 18 0.3696815 1 0
20 21 17 56.27778 1 0
22 23 11 35.16667 1 0
0 0 0 0 -1 7
0 0 0 0 -1 2
24 25 10 1.018519 1 0
0 0 0 0 -1 2
26 27 18 0.2768026 1 0
28 29 18 0.3876841 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
30 31 4 0.05555555 1 0
0 0 0 0 -1 2
0 0 0 0 -1 5
0 0 0 0 -1 3
0 0 0 0 -1 1
0 0 0 0 -1 7
0 0 0 0 -1 2

2 3 17 102.4444 1 0
4 5 10 29.22222 1 0
0 0 0 0 -1 6
6 7 19 0.9194248 1 0
8 9 16 -20.11111 1 0
10 11 18 0.8460017 1 0
0 0 0 0 -1 4
12 13 7 3.250255 1 0
14 15 9 1.611976 1 0
16 17 1 188.5 1 0
0 0 0 0 -1 3
0 0 0 0 -1 5
0 0 0 0 -1 2
0 0 0 0 -1 2
18 19 2 135.5 1 0
20 21 12 3.444444 1 0
0 0 0 0 -1 7
22 23 11 41.44445 1 0
0 0 0 0 -1 5
24 25 2 148.5 1 0
26 27 18 0.6306711 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 3
0 0 0 0 -1 7
28 29 14 -7 1 0
30 31 7 1.898619 1 0
0 0 0 0 -1 2
32 33 18 0.3876841 1 0
0 0 0 0 -1 7
0 0 0 0 -1 3
0 0 0 0 -1 3
0 0 0 0 -1 1

2 3 17 98.61111 1 0
4 5 14 -1.444444 1 0
0 0 0 0 -1 6
6 7 16 -11.11111 1 0
8 9 11 3.444444 1 0
10 11 2 139 1 0
12 13 2 150.5 1 0
0 0 0 0 -1 7
0 0 0 0 -1 1
14 15 10 29.22222 1 0
0 0 0 0 -1 5
16 17 9 0.5825904 1 0
0 0 0 0 -1 4
0 0 0 0 -1 1
0 0 0 0 -1 2
18 19 11 0.7777778 1 0
20 21 1 161.5 1 0
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 3
22 23 8 1.583333 1 0
0 0 0 0 -1 7
0 0 0 0 -1 3

2 3 12 98.61111 1 0
4 5 15 -0.4444444 1 0
0 0 0 0 -1 6
0 0 0 0 -1 4
6 7 11 29.55556 1 0
8 9 18 0.8363756 1 0
10 11 8 2.083333 1 0
12 13 1 167.5 1 0
14 15 18 0.8884252 1 0
0 0 0 0 -1 2
16 17 2 124 1 0
18 19 15 23.66667 1 0
0 0 0 0 -1 7
20 21 12 5.333334 1 0
0 0 0 0 -1 3
22 23 7 286.5871 1 0
0 0 0 0 -1 5
24 25 14 -5.444444 1 0
0 0 0 0 -1 2
0 0 0 0 -1 7
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 7
26 27 18 0.3203042 1 0
0 0 0 0 -1 3
0 0 0 0 -1 1

2 3 13 72.5 1 0
4 5 19 0.9194248 1 0
0 0 0 0 -1 6
6 7 11 29.61111 1 0
0 0 0 0 -1 4
8 9 18 0.7569444 1 0
10 11 2 140.5 1 0
12 13 13 1.111111 1 0
0 0 0 0 -1 3
14 15 7 8.577575 1 0
0 0 0 0 -1 5
0 0 0 0 -1 7
16 17 19 -1.912415 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
18 19 1 130 1 0
20 21 16 -7.333334 1 0
22 23 2 167.5 1 0
0 0 0 0 -1 7
0 0 0 0 -1 1
24 25 10 12.85185 1 0
0 0 0 0 -1 2
0 0 0 0 -1 5
26 27 6 1.055555 1 0
0 0 0 0 -1 3
0 0 0 0 -1 1
0 0 0 0 -1 7

2 3 16 3.555556 1 0
4 5 14 -13.77778 1 0
0 0 0 0 -1 4
6 7 17 98.61111 1 0
8 9 19 -2.081479 1 0
10 11 9 1.213804 1 0
0 0 0 0 -1 6
12 13 11 4.722222 1 0
14 15 13 1.444444 1 0
0 0 0 0 -1 2
16 17 13 51.83333 1 0
0 0 0 0 -1 3
18 19 7 1.102527 1 0
0 0 0 0 -1 7
20 21 14 -1.611111 1 0
0 0 0 0 -1 5
0 0 0 0 -1 3
0 0 0 0 -1 2
22 23 17 27.94445 1 0
24 25 17 19 1 0
0 0 0 0 -1 1
0 0 0 0 -1 7
0 0 0 0 -1 5
0 0 0 0 -1 7
26 27 2 66.5 1 0
0 0 0 0 -1 1
28 29 2 109.5 1 0
0 0 0 0 -1 2
30 31 16 -11.33333 1 0
0 0 0 0 -1 5
0 0 0 0 -1 3

2 3 19 0.9194248 1 0
4 5 11 66.66667 1 0
0 0 0 0 -1 4
6 7 2 157 1 0
0 0 0 0 -1 6
8 9 12 38.44445 1 0
0 0 0 0 -1 5
10 11 11 6.833333 1 0
12 13 8 16.13889 1 0
14 15 19 -2.081479 1 0
16 17 19 -1.954328 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 3
18 19 6 0.3888889 1 0
20 21 1 104.5 1 0
22 23 6 2.527777 1 0
0 0 0 0 -1 7
24 25 14 1.166667 1 0
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 1
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 1

2 3 16 3.555556 1 0
4 5 13 72.5 1 0
0 0 0 0 -1 4
6 7 16 -18.94444 1 0
0 0 0 0 -1 6
0 0 0 0 -1 5
8 9 19 -2.094349 1 0
10 11 2 153.5 1 0
12 13 16 -4.722222 1 0
14 15 8 0.75 1 0
0 0 0 0 -1 5
16 17 19 -1.770783 1 0
0 0 0 0 -1 7
18 19 10 2.314815 1 0
20 21 4 0.05555555 1 0
22 23 1 196.5 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
0 0 0 0 -1 7
24 25 1 99 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
26 27 12 31.44445 1 0
0 0 0 0 -1 3
28 29 7 7.212629 1 0
0 0 0 0 -1 7
0 0 0 0 -1 5
0 0 0 0 -1 2
30 31 14 -9.111111 1 0
0 0 0 0 -1 7
0 0 0 0 -1 3

2 3 10 76.51852 1 0
4 5 16 3.555556 1 0
0 0 0 0 -1 6
6 7 17 38.44445 1 0
0 0 0 0 -1 4
8 9 14 1.611111 1 0
10 11 2 140 1 0
12 13 9 0.5622201 1 0
0 0 0 0 -1 1
14 15 5 0.05555555 1 0
0 0 0 0 -1 5
16 17 18 0.9131461 1 0
18 19 11 12.55556 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 3
0 0 0 0 -1 3
20 21 18 0.4370086 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 10 79.03704 1 0
4 5 19 0.9194248 1 0
0 0 0 0 -1 6
6 7 11 22.55556 1 0
0 0 0 0 -1 4
8 9 1 164.5 1 0
10 11 9 1.213804 1 0
12 13 10 3.666667 1 0
14 15 19 -2.146739 1 0
16 17 11 25.94444 1 0
18 19 6 14.05556 1 0
20 21 7 1.624075 1 0
22 23 18 0.3876841 1 0
24 25 11 5.444445 1 0
0 0 0 0 -1 7
0 0 0 0 -1 7
0 0 0 0 -1 2
26 27 7 0.4640424 1 0
0 0 0 0 -1 3
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 3
28 29 19 -1.940037 1 0
0 0 0 0 -1 3
0 0 0 0 -1 7
0 0 0 0 -1 2
30 31 4 0.05555555 1 0
32 33 13 5.555556 1 0
0 0 0 0 -1 1
0 0 0 0 -1 5
34 35 18 0.2863539 1 0
0 0 0 0 -1 3
36 37 18 0.4259426 1 0
0 0 0 0 -1 2
0 0 0 0 -1 5
0 0 0 0 -1 7
0 0 0 0 -1 2

2 3 2 154.5 1 0
4 5 19 -1.652396 1 0
6 7 12 29.22222 1 0
