left_daughter right_daughter split_var split_point status prediction
2 3 3 0.1867733 1 0
4 5 6 0.4726079 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
6 7 32 0.737915 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 0.1595298 1 0
4 5 107 0.9678022 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.1595298 1 0
4 5 6 0.6852122 1 0
6 7 18 -1.44473 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.2334715 1 0
4 5 191 1.9307 1 0
6 7 104 1.103456 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 -0.3705328 1 0
0 0 0 0 -1 1
4 5 6 -1.208399 1 0
0 0 0 0 -1 1
6 7 17 1.752683 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 0.1867733 1 0
4 5 6 1.135288 1 0
0 0 0 0 -1 2
6 7 151 1.326902 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.1595298 1 0
4 5 5 1.01263 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.7030731 1 0
0 0 0 0 -1 1
4 5 1 -0.8398734 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.1595298 1 0
4 5 6 0.4726079 1 0
6 7 96 1.701225 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 -0.3708479 1 0
0 0 0 0 -1 1
4 5 4 -1.48213 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.3705328 1 0
4 5 120 -0.7576282 1 0
6 7 6 -1.208399 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.1595298 1 0
4 5 6 0.8046648 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 0.1981877 1 0
4 5 6 0.8046648 1 0
6 7 5 -1.03526 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.2334715 1 0
4 5 5 0.986635 1 0
6 7 138 1.014858 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
8 9 66 -0.5614041 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 -0.7030731 1 0
0 0 0 0 -1 1
4 5 173 -1.377946 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.07478059 1 0
4 5 179 0.6287975 1 0
6 7 174 -1.966663 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.1595298 1 0
4 5 6 0.707993 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.7596608 1 0
0 0 0 0 -1 1
4 5 4 -0.7293584 1 0
6 7 88 -0.8668516 1 0
8 9 36 0.8194759 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 -0.3705328 1 0
0 0 0 0 -1 1
4 5 6 -1.078848 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 0.2237209 1 0
4 5 152 1.113776 1 0
6 7 184 1.215625 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
8 9 32 -0.03424567 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.3584908 1 0
4 5 107 1.325718 1 0
6 7 5 -0.7736851 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.1595298 1 0
4 5 93 -2.018812 1 0
6 7 34 2.544686 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 -0.7656759 1 0
0 0 0 0 -1 1
4 5 5 -0.8503073 1 0
0 0 0 0 -1 1
6 7 65 -2.152272 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.1595298 1 0
4 5 6 0.8046648 1 0
6 7 195 1.670562 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 0.1474897 1 0
4 5 29 -1.764648 1 0
6 7 145 2.0145 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 179 0.4156279 1 0
4 5 3 0.6651597 1 0
0 0 0 0 -1 2
6 7 6 0.6835541 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.1595298 1 0
4 5 6 0.707993 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 0.2080347 1 0
4 5 183 1.302696 1 0
6 7 160 -0.941455 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 0.1981877 1 0
4 5 6 0.9353458 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.627655 1 0
0 0 0 0 -1 1
4 5 6 -1.124668 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 -0.2965261 1 0
4 5 159 1.560129 1 0
6 7 65 -0.9813372 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
8 9 90 0.9141878 1 0
10 11 5 -0.8582126 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.1747333 1 0
4 5 6 0.4726079 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.1474897 1 0
4 5 6 1.135288 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.2769476 1 0
4 5 6 0.4022451 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
6 7 80 -0.9084952 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.3584908 1 0
4 5 107 1.325718 1 0
6 7 5 -1.41525 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.1867733 1 0
4 5 64 -1.226301 1 0
6 7 133 -1.308942 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.7030731 1 0
0 0 0 0 -1 1
4 5 5 -0.835652 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.3705328 1 0
0 0 0 0 -1 1
4 5 5 -1.41525 1 0
0 0 0 0 -1 1
6 7 143 -1.385713 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.3581757 1 0
0 0 0 0 -1 1
4 5 5 -0.7969477 1 0
6 7 64 0.4823178 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.3705328 1 0
0 0 0 0 -1 1
4 5 162 1.663367 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 -0.2334715 1 0
0 0 0 0 -1 1
4 5 6 -1.12487 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.3705328 1 0
4 5 192 0.9509514 1 0
6 7 6 -1.208399 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.7030731 1 0
0 0 0 0 -1 1
4 5 5 -0.835652 1 0
6 7 9 0.06016573 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.3708479 1 0
0 0 0 0 -1 1
4 5 6 -1.11305 1 0
0 0 0 0 -1 1
6 7 122 -1.650251 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.2406666 1 0
4 5 94 1.89326 1 0
6 7 4 -1.48213 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.6651597 1 0
4 5 6 0.4726079 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.3705328 1 0
0 0 0 0 -1 1
4 5 156 -1.725191 1 0
0 0 0 0 -1 1
6 7 96 1.701225 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 -0.3705328 1 0
0 0 0 0 -1 1
4 5 6 -0.9845367 1 0
0 0 0 0 -1 1
6 7 17 1.748378 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 0.2889876 1 0
4 5 6 0.4726079 1 0
6 7 20 1.285101 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 2 0.2237209 1 0
4 5 6 0.4726079 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.3581757 1 0
4 5 159 -1.580231 1 0
6 7 6 -1.078848 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 0.2506549 1 0
4 5 70 -1.57656 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 -0.3082095 1 0
0 0 0 0 -1 1
4 5 5 -0.8195082 1 0
6 7 12 0.5334921 1 0
