-1 1 MeanDecreaseAccuracy MeanDecreaseGini
-0.1007637 1.666373 1.428571 0.2186385
3.811952 3.80529 3.868919 3.610091
15.98724 16.80407 17.84911 19.67272
1.610307 1.427573 1.712503 0.4127517
3.207686 3.08828 3.394726 1.497237
4.921655 5.053087 5.815727 3.258741
0 0 0 0
0 0 0 0
-1.005038 0.20004 -0.2774568 0.04256277
0 0 0 0
0 0 0 0
1.005038 1.005038 1.005038 0.016
0 0 0 0
0 0 0 0
0 -1.005038 -1.005038 0.01939394
0 0 0 0
-1.005038 1.412127 1.005038 0.1249823
0 0 0 0.03783784
0 0 0 0
0 1.427573 1.427308 0.05823596
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.016
0 0 0 0
0 -1.005038 -1.005038 0.019375
0 0 0 0
0 0 0 0
0 1.428571 1.425847 0.1091892
0 0 0 0
0 0 0 0
0 -1.005038 -1.005038 0.03083333
0 0 0 0
0 -0.1869404 0 0.2197804
0 0 0 0
0 1.005038 1.005038 0.01945946
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.01923077
0 0 0 0
0 0 0 0.07058824
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.05419355
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
-1.005038 0 -1.005038 0.01935484
0 0 0 0
0 0 0 0.01923077
-0.3181603 1.005038 0.3601412 0.08975758
0 0 0 0.0802127
0 1.005038 1.005038 0.01333333
0 -1.005038 -1.005038 0.01948718
0 -1.005038 -1.005038 0.03777778
0 0 0 0
1.005038 1.005038 1.005038 0.09058212
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.016
1.005038 1.005038 1.005038 0.03777778
0 0 0 0
0 0 0 0.05483333
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 1.005038 1.005038 0.03694444
0 0 0 0
0 0 0 0.01666667
0 0 0 0
0 0 0 0
0 0 0 0.055
1.005038 0 1.005038 0.1115809
0 0 0 0
0 0 0 0.05675357
0 0 0 0
0 0 0 0
0 0 0 0
0 -1.005038 -1.005038 0.019375
0 0 0 0
0 0 0 0.01894737
0 0 0 0
-1.005038 -1.005038 -1.005038 0.01947368
0 0 0 0
0 0 0 0
1.173674 0.3181603 1.180539 0.1953799
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 -1.005038 -1.005038 0.07017544
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1.005038 -1.005038 0 0.032
1.005038 0 1.005038 0.03703704
0 0 0 0.01931034
0 0 0 0.01953488
0 0 0 0
0 -0.08304834 0.02570881 0.05090909
0 0 0 0
0 0 0 0
0 0 0 0.01957447
0 0 0 0
0 0 0 0.1046429
0 0 0 0
0 0 0 0
0 -1.005038 -1.005038 0.01666667
0 1.005038 1.005038 0.01923077
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.01931034
0 1.005038 1.005038 0.0245045
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.01947368
0 0 0 0.05571429
0 0 0 0.05780037
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1.005038 0 1.005038 0.05648148
0.06143067 1.005038 1.005038 0.05592593
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.03630176
0 0 0 0
0 0 0 0
1.005038 -1.005038 -0.02772446 0.06941799
0 -1.005038 -1.005038 0.01942857
0 0 0 0
0 0 0 0.03900491
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 -1.005038 -1.005038 0.03777778
0 0 0 0
0 0 0 0
0 -1.005038 -1.005038 0.05581395
1.005038 1.005038 1.005038 0.05838803
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1.063284 0 1.055835 0.4252224
0 0 0 0
0 0 0 0
0 0 0 0
-1.005038 -1.005038 -1.005038 0.05419355
0 1.005038 1.005038 0.1080131
1.005038 -1.005038 0 0.018
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.03714286
-1.005038 0 -1.005038 0.01928571
0 0 0 0
0 0 0 0
0 -1.427573 -1.417317 0.03862069
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
