Pow C1	Pow C2	Perm C1	Perm C2	Gini	Perm	Count

1.          0.71912899  0.15753991  0.15194738  0.44755185  0.10458054	0.63469323
0.          1.          0.14780026  0.14886087  0.45374994  0.09977484	0.62654937
0.          0.          1.          0.75947037  0.06664388  0.6246629	0.22137421
0.          0.          0.          1.          0.0690047   0.66990532	0.21762898
0.          0.          0.          0.          1.          0.0388684	0.47028099
0.          0.          0.          0.          0.          1.	0.1547397
0.          0.          0.          0.          0.          0.          1.

0.          0.07143824  0.09957386  0.09234199  0.09231224  0.08623522	0.0560887
0.          0.          0.08979082  0.09460494  0.08491351  0.0894317	0.06519775
0.          0.          0.          0.10633347  0.08933271  0.10968049	0.09110418
0.          0.          0.          0.          0.08409778  0.10759589	0.1024158
0.          0.          0.          0.          0.          0.07532468	0.07877251
0.          0.          0.          0.          0.          0.	0.10826501
0.          0.          0.          0.          0.          0.          0.
