left_daughter right_daughter split_var split_point status prediction
2 3 2 -0.1881484 1 0
4 5 184 -1.013138 1 0
6 7 5 -0.8343902 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.3831524 1 0
4 5 171 -1.669016 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
6 7 6 1.146279 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.3527535 1 0
4 5 118 -1.310309 1 0
6 7 82 1.704439 1 0
0 0 0 0 -1 2
8 9 65 -1.900115 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 -0.2458956 1 0
4 5 6 1.146814 1 0
6 7 4 -1.48213 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
8 9 82 1.803799 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 1 0.454922 1 0
4 5 3 -0.2429512 1 0
0 0 0 0 -1 2
6 7 178 1.583079 1 0
8 9 44 -1.391049 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 53 -1.19253 1 0
4 5 21 -0.2047635 1 0
6 7 2 -0.178144 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
8 9 6 1.195625 1 0
10 11 5 -0.7736851 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 -0.7483212 1 0
0 0 0 0 -1 1
4 5 6 -1.220016 1 0
0 0 0 0 -1 1
6 7 4 -1.479051 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 0.5490358 1 0
4 5 112 0.2624839 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
6 7 12 -0.3664926 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 -0.1881484 1 0
4 5 5 1.378639 1 0
6 7 6 -1.220016 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
8 9 32 -1.395225 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.07767375 1 0
4 5 2 -0.1940733 1 0
6 7 2 -0.426508 1 0
0 0 0 0 -1 1
8 9 141 0.497326 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 82 0.05914545 1 0
4 5 3 0.4015577 1 0
6 7 5 -0.8195082 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
8 9 111 1.831157 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 -0.240239 1 0
4 5 77 0.8705768 1 0
6 7 6 -1.478099 1 0
0 0 0 0 -1 1
8 9 96 0.6721061 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 2 0.07496228 1 0
4 5 180 1.000991 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 78 -0.8235784 1 0
4 5 62 -1.006069 1 0
6 7 4 0.7588928 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
8 9 3 0.6852505 1 0
10 11 5 -0.6428588 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.6852505 1 0
4 5 4 0.7131561 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
6 7 63 0.05798883 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 -0.2429512 1 0
0 0 0 0 -1 1
4 5 6 -1.220219 1 0
0 0 0 0 -1 1
6 7 170 2.006636 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 -0.5878489 1 0
0 0 0 0 -1 1
4 5 5 -0.7969477 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.3527535 1 0
4 5 119 -1.070691 1 0
0 0 0 0 -1 2
6 7 51 -0.8201475 1 0
8 9 6 1.313803 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 117 0.1648345 1 0
4 5 30 -1.118496 1 0
6 7 3 -0.07767375 1 0
8 9 196 -0.8952247 1 0
10 11 139 1.703832 1 0
12 13 104 1.421907 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
14 15 137 -1.749372 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 1 -0.2266556 1 0
4 5 28 1.430766 1 0
6 7 2 -0.7483212 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 0.5490358 1 0
4 5 189 -0.5882193 1 0
0 0 0 0 -1 2
6 7 157 -0.04541557 1 0
8 9 123 0.9863321 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
10 11 6 0.6818989 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 -0.3496385 1 0
4 5 18 1.861602 1 0
6 7 138 0.9355603 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 2 -0.2659598 1 0
4 5 190 1.668115 1 0
6 7 5 -0.9507265 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.462488 1 0
0 0 0 0 -1 1
4 5 6 -1.220016 1 0
0 0 0 0 -1 1
6 7 80 1.539471 1 0
8 9 30 1.100746 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 2 -0.7483212 1 0
0 0 0 0 -1 1
4 5 3 0.3527535 1 0
6 7 5 0.2147584 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 167 -0.09088765 1 0
4 5 3 0.4432007 1 0
6 7 5 -0.9428213 1 0
0 0 0 0 -1 1
8 9 132 -0.6413863 1 0
0 0 0 0 -1 1
10 11 25 1.751413 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 38 -0.5151979 1 0
4 5 26 -0.6791968 1 0
6 7 6 0.5868822 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
8 9 55 1.822632 1 0
0 0 0 0 -1 2
10 11 118 -1.830455 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 117 0.2473687 1 0
4 5 2 -0.2659598 1 0
6 7 2 -0.1881484 1 0
0 0 0 0 -1 1
8 9 100 -0.6854807 1 0
10 11 3 0.5067653 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.6545741 1 0
4 5 104 -0.03689546 1 0
0 0 0 0 -1 2
6 7 85 -0.07296702 1 0
8 9 82 -1.194614 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 -0.3933295 1 0
0 0 0 0 -1 1
4 5 4 -1.395673 1 0
0 0 0 0 -1 1
6 7 6 -0.9884243 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 101 -0.5613693 1 0
4 5 192 -0.1377919 1 0
6 7 185 -1.074551 1 0
8 9 31 -0.06847582 1 0
0 0 0 0 -1 1
0 0 0 0 -1 1
10 11 34 1.233174 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
12 13 182 -1.784016 1 0
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 1 -0.2266556 1 0
4 5 87 -0.7130226 1 0
6 7 3 -0.240239 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
8 9 169 0.6516721 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 -0.4064056 1 0
4 5 28 -1.803004 1 0
6 7 5 -0.9507265 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 5 -0.8195082 1 0
0 0 0 0 -1 1
4 5 97 -0.169608 1 0
6 7 2 -0.3227269 1 0
8 9 176 1.348254 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 -0.3891948 1 0
