-1 1 MeanDecreaseAccuracy MeanDecreaseGini
11.82774 12.49276 14.51889 2.523866
27.13278 28.72653 30.25243 8.309892
26.36751 27.0155 28.30369 7.464803
6.48083 6.720553 7.884757 0.7727788
16.43523 17.20485 18.55573 2.655677
15.80344 16.87663 17.81609 2.188507
0.7437143 -2.308572 -1.385953 0.03187026
-1.000334 1.000334 -0.1225134 0.007304421
0.3551783 -0.2036445 0.06577063 0.07306415
-0.3300333 0.3261274 0.4182207 0.02267938
0.6226235 -1.57656 -1.105979 0.01601579
-1.800828 -1.543597 -2.166382 0.02636585
-1.135579 0.5874465 -0.3943017 0.03381909
1.666507 0.8722349 1.592741 0.02733667
-0.760452 -0.4924058 -0.6772436 0.0237957
-1.400916 -1.489857 -1.864902 0.0264882
-0.7315803 0.3455648 -0.3646901 0.05472757
-0.9099352 -1.663338 -1.791923 0.04153839
1.714005 0.7494089 1.380536 0.01903092
1.000334 0.6081893 1.073723 0.01812804
1.000334 0 1.000334 0.003660594
-1.000334 -1.174177 -1.301197 0.02209414
1.000334 1.000334 1.408774 0.009605291
-1.456502 -1.980272 -2.285448 0.08495335
-1.609741 0.04320777 -0.905454 0.02995353
1.397078 -1.38764 0.05717345 0.0202649
-1.311358 1.382817 -0.4229965 0.01537536
-0.2447422 0.986307 0.2904864 0.0383693
-0.8030524 -0.1441546 -0.6595769 0.07103481
-1.195576 -1.366758 -1.5187 0.01661902
-2.348809 -1.415157 -2.306301 0.03237325
-0.8319005 -1.594102 -1.703103 0.005953097
-0.1233259 -1.56226 -0.8653069 0.04727314
-0.7628423 -0.7799157 -0.9272708 0.04277058
-1.732753 -1.698357 -1.910301 0.01226342
-0.712509 -0.618831 -0.5864712 0.03290749
-0.2140486 -0.4210005 -0.5799089 0.08902631
1.754703 0.9357958 1.69003 0.2522665
-0.02622176 -1.195956 -1.236107 0.02407175
-1.38764 -1.563282 -1.798219 0.03547303
-1.263562 -2.224947 -2.247178 0.03364895
-1.000334 -1.69442 -1.437459 0.02552231
0.08231499 -0.3887341 -0.3281961 0.1448512
-0.09366393 -0.6111046 -0.523957 0.05018065
1.595122 0.9058153 1.612251 0.02934586
0.5996942 0.08989163 0.9370474 0.04135077
-1.000334 -0.3628312 -0.886268 0.02680274
1.000334 -1.000334 0.07992206 0.01150584
1.91537 0.6781663 1.484152 0.08107356
1.783853 0.3143134 1.104064 0.0937908
0.8436124 1.898922 1.799529 0.06648257
1.556469 0.5171095 1.517261 0.1250586
-0.8651811 0.3507985 -0.2428506 0.06615883
-1.000334 -0.1829153 -0.561011 0.01098432
1.057538 0.8702296 0.9051678 0.0437938
-0.1636941 -0.639009 -0.6607703 0.02067182
-1.366504 -0.8108847 -1.042262 0.04889135
-2.536195 -2.573572 -2.784885 0.03294085
-1.193845 -2.451322 -2.777297 0.04207786
-0.6136416 1.137988 -0.1513158 0.04887116
-1.831674 -1.393596 -1.990368 0.008553118
0.2731493 0.07392226 0.3584136 0.02393609
-1.000334 0.2192899 -0.4375914 0.02174859
-0.332577 -1.871257 -1.273894 0.01440425
-1.66453 0.3004299 -1.358817 0.01787647
0.5772867 0.6712569 0.6067304 0.03870953
0.5411475 -0.926309 -0.0459535 0.0333091
0.3239885 1.119193 1.099364 0.0594418
1.360851 0.2200896 1.407509 0.046929
-0.06786132 -1.698428 -1.325547 0.03650085
-1.634435 -1.000334 -1.516055 0.02342501
-0.8836821 -0.05234244 -0.6439864 0.008233514
-0.1084657 -1.000334 -0.8463993 0.0164544
1.123491 -1.115194 -0.2524029 0.03642607
-1.009466 -0.9783715 -1.122758 0.03208328
6.753823e-17 -1.445428 -0.8708161 0.02463485
1.448133 0.2795943 1.571693 0.03565916
1.94144 1.522247 2.056713 0.04109112
-0.4030306 -1.000334 -0.7958974 0.02443636
-1.621584 -1.281723 -1.72254 0.03328962
1.125313 -0.05628247 0.4662216 0.06387764
1.603236 -1.492119 0.6320346 0.05671594
1.413553 -0.3822734 0.3698614 0.01896332
-0.6406602 -0.6081617 -1.086808 0.02042115
1.067693 -0.3013023 0.2186757 0.09590849
0.2575188 -1.000334 -0.6034031 0.01396846
1.041488 -1.370513 0.06952692 0.03016722
-0.3418951 -1.706595 -1.393234 0.0256301
-0.462606 -1.970241 -1.409338 0.02592045
1.000334 -1.000334 0 0.01160341
-1.098567 -0.3670955 -0.9001325 0.05616641
0.641406 -1.070982 -0.4259975 0.02700421
-0.4193577 -0.3282528 -0.6184802 0.060169
0.8952869 2.925735 2.715951 0.1123854
0.04765438 -0.8780744 -0.7818763 0.01668854
1.508837 -0.4872927 0.6385879 0.07990535
0.1227894 0.2373989 0.3550029 0.1025787
-0.5362769 1.837359 0.5608413 0.05807291
-1.373504 -1.590363 -2.067419 0.03659843
-1.413199 -0.3194066 -0.8524653 0.02311039
-1.364737 0.2084745 -0.7039438 0.06911349
0.5963983 -1.000334 0.001736864 0.01181887
