Pow C1	Pow C2	Perm C1	Perm C2	Gini	Perm	Count

1.          0.69268333  0.18225732  0.19879577  0.45922742  0.16567347	0.31821019
0.          1.          0.18730737  0.19536998  0.44695732  0.16666185	0.30655039
0.          0.          1.          0.73380479  0.08808679  0.65425642	0.22599454
0.          0.          0.          1.          0.09774538  0.67719418	0.23215375
0.          0.          0.          0.          1.          0.06568457	0.20382147
0.          0.          0.          0.          0.          1.	0.24494115
0.          0.          0.          0.          0.          0.          1.

0.          0.0660477   0.07146036  0.08891884  0.06912966  0.08219301	0.09457665
0.          0.          0.07926456  0.09722106  0.0736164   0.09154973	0.10793046
0.          0.          0.          0.12352077  0.06221947  0.10555451	0.08537263
0.          0.          0.          0.          0.06990241  0.10500664	0.07898384
0.          0.          0.          0.          0.          0.07066948	0.07163398
0.          0.          0.          0.          0.          0.	0.10434453
0.          0.          0.          0.          0.          0.          0.
