Pow C1	Pow C2	Perm C1	Perm C2	Gini	Perm	Count

1.          0.72681302  0.16871261  0.1564426   0.45462819  0.12965511	0.63073661
0.          1.          0.17948105  0.16406606  0.4521926   0.12206702	0.62908465
0.          0.          1.          0.73636691  0.08776215  0.64223689	0.26872134
0.          0.          0.          1.          0.07656356  0.66502204	0.24669395
0.          0.          0.          0.          1.          0.04937166	0.47420932
0.          0.          0.          0.          0.          1.	0.19887983
0.          0.          0.          0.          0.          0.          1.

0.          0.08029037  0.10179316  0.09369691  0.07789785  0.07812859	0.06143941
0.          0.          0.0990062   0.08519851  0.08387838  0.0860368	0.07330597
0.          0.          0.          0.09270707  0.07374921  0.09275923	0.10047646
0.          0.          0.          0.          0.07949425  0.09074404	0.09078992
0.          0.          0.          0.          0.          0.07404236	0.07758133
0.          0.          0.          0.          0.          0.	0.08587275
0.          0.          0.          0.          0.          0.          0.
