left_daughter right_daughter split_var split_point status prediction
2 3 138 0.4891856 1 0
4 5 189 0.7698177 1 0
6 7 108 -0.9454739 1 0
8 9 105 0.5523069 1 0
10 11 185 0.9564356 1 0
0 0 0 0 -1 2
12 13 131 0.9871428 1 0
0 0 0 0 -1 2
14 15 181 0.7007633 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 0.2237209 1 0
4 5 17 -1.567666 1 0
6 7 17 -1.983896 1 0
0 0 0 0 -1 2
8 9 72 -1.601768 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 125 -0.7199831 1 0
4 5 3 0.6747172 1 0
6 7 2 -0.2087102 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
8 9 159 2.338836 1 0
10 11 40 1.386825 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 2 0.2775696 1 0
4 5 108 -1.150913 1 0
6 7 158 1.060642 1 0
8 9 67 -1.501692 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 -0.2087102 1 0
4 5 178 1.716111 1 0
6 7 4 -1.479051 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 174 0.5397308 1 0
4 5 3 0.3527535 1 0
6 7 5 -0.6275129 1 0
8 9 6 1.133633 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.7030731 1 0
0 0 0 0 -1 1
4 5 4 -1.565554 1 0
0 0 0 0 -1 1
6 7 25 -1.212305 1 0
8 9 72 0.5741839 1 0
10 11 97 -1.646603 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 0.2818362 1 0
4 5 111 -0.4164038 1 0
6 7 117 1.998773 1 0
0 0 0 0 -1 2
8 9 134 -1.258106 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 43 -0.4760835 1 0
4 5 5 -1.361125 1 0
6 7 2 -0.2087102 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
8 9 180 0.8452404 1 0
10 11 175 -0.1221742 1 0
12 13 158 -1.098632 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 159 0.3904047 1 0
4 5 38 -0.3461047 1 0
6 7 37 -1.41204 1 0
8 9 158 0.5626791 1 0
10 11 83 1.545006 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 1 -0.1731619 1 0
4 5 6 1.133633 1 0
6 7 5 -1.365916 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
8 9 120 -1.56368 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.2942692 1 0
4 5 135 0.6564375 1 0
0 0 0 0 -1 2
6 7 56 1.219059 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 138 0.8465201 1 0
4 5 195 -0.9034782 1 0
6 7 184 -2.227376 1 0
8 9 33 -0.8204184 1 0
10 11 164 1.199287 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
12 13 141 1.925893 1 0
14 15 95 0.8520192 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.2431834 1 0
4 5 168 1.093387 1 0
6 7 6 -1.209959 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.2607743 1 0
4 5 38 -1.703724 1 0
6 7 25 1.762412 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 2 0.2237209 1 0
4 5 1 0.5527437 1 0
6 7 3 -0.3936446 1 0
8 9 191 -1.172389 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 2 -0.1881484 1 0
4 5 51 -1.1841 1 0
6 7 5 -1.460343 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 159 0.3987626 1 0
4 5 3 0.4015577 1 0
6 7 5 -0.6623526 1 0
8 9 81 -1.557649 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 0.3527535 1 0
4 5 6 1.213912 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 135 0.7874197 1 0
4 5 168 -1.040478 1 0
0 0 0 0 -1 2
6 7 105 0.4589513 1 0
8 9 3 0.3527535 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
10 11 175 2.148293 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 0.2237209 1 0
4 5 121 1.547805 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 1 0.3267129 1 0
4 5 77 0.5794152 1 0
6 7 137 1.680411 1 0
8 9 53 1.63019 1 0
10 11 123 0.3024444 1 0
