-1 1 MeanDecreaseAccuracy MeanDecreaseGini
2.441185 2.382479 2.581165 2.335712
5.755409 4.514073 5.533916 10.39083
4.164999 3.362458 4.015203 5.539435
0 0 0 0.1702392
1.857349 1.567434 2.043144 1.01228
1.807653 2.193193 2.12882 1.136792
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.1864516
-1.010153 -1.010153 -1.010153 0.3343704
1.010153 0 1.010153 0.06666667
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.2559597
0 0 0 0
0 0 0 0
0 0 0 0
1.010153 0 1.010153 0.1083871
0 0 0 0
1.010153 0 1.010153 0.07875
0 0 0 0
-1.010153 -1.010153 -1.010153 0.2149106
0 0 0 0
0 0 0 0.03894737
-1.010153 0 -1.010153 0.03866667
0 0 0 0.1
0 0 0 0
1.010153 0 1.010153 0.1090909
0 0 0 0
0 0 0 0.09
0 0 0 0
0 0 0 0
0 0 0 0
0 1.010153 1.010153 0.07466667
0 -1.435397 -1.442265 0.2601859
0 0 0 0
0 -1.010153 -1.010153 0.03888889
0 0 0 0
0 0 0 0
-0.360375 1.266889 1.010153 0.2927426
0 0 0 0
0 0 0 0.03733333
1.010153 -1.010153 0 0.1869031
0 0 0 0
1.010153 -1.010153 0 0.03
0 0 0 0.03862069
0 0 0 0
-1.010153 0 -1.010153 0.03875
0 0 0 0
0 0 0 0.03818182
0 0 0 0
0 0 0 0
-1.010153 -1.010153 -1.010153 0.07483871
0 0 0 0.03333333
0 0 0 0.03882353
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.03
0 0 0 0
0 0 0 0
0 0 0 0
-1.010153 0 -1.010153 0.03857143
1.010153 0 1.010153 0.1400833
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1.010153 1.010153 1.010153 0.3908409
0 -1.010153 -1.010153 0.03
0 0 0 0
0 0 0 0
0 0 0 0.03851852
1.010153 1.010153 1.010153 0.07058824
1.010153 1.010153 1.010153 0.0384
0 0 0 0
1.010153 -1.010153 1.010153 0.2435204
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.07205263
0 0 0 0
0 0 0 0
1.010153 -1.010153 0 0.1333333
1.010153 0 1.010153 0.03902439
0 0 0 0
-1.010153 0.20008 0.09009293 0.1859671
0 0 0 0
0 -1.010153 -1.010153 0.03888889
0 0 0 0
0 0 0 0
-1.010153 0 -1.010153 0.1007834
1.010153 1.010153 1.010153 0.07333333
0 0 0 0
0 0 0 0
0 0 0 0.1292024
-1.441674 0.403665 -0.4936084 0.2443025
0 0 0 0
0 0 0 0
0 -1.010153 -1.010153 0.149338
1.010153 1.010153 1.010153 0.03897436
0 0 0 0
0.6076367 1.010153 0.6503822 0.3117054
0 0 0 0.07304348
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 -1.010153 -1.010153 0.03862069
1.010153 1.010153 1.010153 0.1194743
0 0 0 0
0 0 0 0.03885714
-1.010153 -1.010153 -1.010153 0.07555556
0 0 0 0
1.010153 1.010153 1.010153 0.07310924
0 0 0 0
-1.010153 -1.010153 -1.010153 0.1345707
0 0 0 0
0 0 0 0
-1.010153 -1.010153 -1.010153 0.06
0 0 0 0
0 0 0 0
-1.010153 0 -1.010153 0.03851852
0 0 0 0
0 0 0 0
0 0 0 0.07529412
-1.010153 -1.318757 -1.180031 0.2943435
0 0 0 0
-1.010153 -1.010153 -1.010153 0.4325153
0.1798957 -1.410694 -0.5302557 0.6201877
0 0 0 0
0 0 0 0
0 0 0 0.03891892
0 0 0 0
0 0 0 0
0 1.010153 1.010153 0.075
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.07626775
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.064
0 0 0 0
-1.010153 0.5687627 -0.4515577 0.6086461
1.590769 -0.01867064 1.038486 1.40914
0 0 0 0
0 0 0 0
0 0 0 0
0 -1.010153 -1.010153 0.03650624
1.010153 -1.010153 0 0.07547132
0 0 0 0
0 0 0 0
1.010153 1.010153 1.010153 0.1043759
-1.010153 -1.010153 -1.3744 0.3742286
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
-1.010153 1.010153 0 0.1867677
0 -1.010153 -1.010153 0.1650255
0 0 0 0
-1.010153 -1.010153 -1.010153 0.1038235
-1.010153 -1.010153 -1.010153 0.2082878
0 0 0 0
1.010153 0 1.010153 0.1410155
0 0 0 0.032
0 0 0 0
0 0 0 0
0 0 0 0.03692308
1.010153 0 1.010153 0.03555556
0 0 0 0
0 0 0 0
0 0 0 0
1.010153 1.010153 1.010153 0.1516259
-1.010153 1.010153 0 0.1484912
0 0 0 0.07515152
0 0 0 0
0 0 0 0
0 0 0 0
0 1.010153 1.010153 0.2677769
0 0 0 0
0 1.010153 1.010153 0.02666667
0 0 0 0
1.010153 0 1.010153 0.03
0 0 0 0
