left_daughter right_daughter split_var split_point status prediction
2 3 2 0.2237209 1 0
4 5 5 0.8957616 1 0
0 0 0 0 -1 2
6 7 43 1.577737 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 1 0.5229989 1 0
4 5 3 -0.2429512 1 0
0 0 0 0 -1 2
6 7 192 1.192892 1 0
8 9 12 -0.3847886 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
10 11 105 0.4164295 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 2 0.2237209 1 0
4 5 6 0.4955837 1 0
6 7 127 1.990565 1 0
0 0 0 0 -1 1
8 9 41 -1.588545 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 0.3527535 1 0
4 5 176 -0.7932515 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
6 7 114 -1.232266 1 0
0 0 0 0 -1 2
8 9 108 2.548341 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.4583533 1 0
0 0 0 0 -1 1
4 5 6 -1.022627 1 0
6 7 45 -0.5088255 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 5 -0.5097334 1 0
4 5 169 -1.180879 1 0
6 7 108 0.5400207 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
8 9 38 1.897349 1 0
10 11 180 -0.189901 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 3 -0.4583533 1 0
0 0 0 0 -1 1
4 5 5 -1.204555 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 0.5490358 1 0
4 5 6 0.4955837 1 0
0 0 0 0 -1 2
6 7 34 -0.9876079 1 0
0 0 0 0 -1 2
8 9 98 0.06149351 1 0
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 2 -0.4200687 1 0
4 5 84 1.482063 1 0
6 7 116 -1.288828 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
8 9 29 1.433688 1 0
10 11 151 -2.545287 1 0
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 3 -0.2429512 1 0
4 5 5 1.203811 1 0
6 7 85 0.8483189 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
8 9 106 1.358672 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 2 0.07496228 1 0
4 5 166 0.8034172 1 0
0 0 0 0 -1 2
