-1 1 MeanDecreaseAccuracy MeanDecreaseGini
2.544758 1.564228 2.471134 1.783009
4.111267 4.328878 4.554272 6.416919
6.104852 5.61928 6.237933 9.080592
1.66505 1.299481 1.930051 1.009061
2.707049 1.905723 2.331132 2.343439
2.430407 3.298542 2.929724 2.126414
0 0 0 0
0 0 0 0
0 0 0 0
1.010153 -1.010153 -1.010153 0.1173968
0 0 0 0
-0.4481107 -1.010153 -0.5154911 0.3617778
0 0 0 0
0 0 0 0.032
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.07384615
1.010153 0 1.010153 0.03826087
-1.010153 -0.05652515 -0.4257493 0.1825714
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
-1.010153 -1.010153 -1.010153 0.03764706
0 0 0 0
1.010153 -1.010153 0 0.03857143
0 0 0 0.07163743
-1.010153 0 -1.010153 0.03555556
0 0 0 0
-1.441674 -0.1685446 -1.010153 0.2632075
0 -1.010153 -1.010153 0.03891892
-1.010153 0 -1.010153 0.04912281
0 0 0 0
0 -1.010153 -1.010153 0.03
0 0 0 0
1.010153 -1.010153 0.03008311 0.2105397
0 0 0 0
0 0 0 0
0 1.010153 1.010153 0.03428571
0 0 0 0.1469189
1.010153 1.442346 1.3744 0.1863144
0 0 0 0
0 0 0 0.035
0 0 0 0
0 0 0 0
0 0 0 0
-1.010153 1.443376 1.010153 0.2503742
0 0 0 0
0 0 0 0.06487208
0 0 0 0
1.010153 1.010153 1.010153 0.152381
0 0 0 0
0 0 0 0
0 0 0 0
1.010153 1.010153 1.010153 0.03818182
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.05333333
0 0 0 0
1.010153 0 1.010153 0.07529412
0 0 0 0
0 0 0 0
0 0 0 0.06826667
-1.010153 1.010153 -1.010153 0.1835721
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.1083871
0 1.010153 1.010153 0.066
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
-1.440046 0 -1.440046 0.1833143
-1.010153 0.05234383 -1.010153 0.2511163
0 0 0 0
0 0 0 0.03687055
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 -1.010153 -1.010153 0.04781609
0 0 0 0.06826667
0 0 0 0
-1.010153 0 -1.010153 0.064
0 0 0 0.064
-1.010153 -1.010153 -1.434942 0.06506667
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0.03008311 0.1100321
1.010153 0 1.010153 0.06909091
0 -1.010153 -1.010153 0.03888889
0 0 0 0.03809524
0 0 0 0.2446829
1.010153 1.010153 1.010153 0.03866667
1.010153 0 1.010153 0.02666667
0 -1.010153 -1.010153 0.1397222
0 0 0 0
0 0 0 0
-1.010153 -1.010153 -1.010153 0.03702564
0 -1.010153 -1.010153 0.1484848
0 0 0 0.09435173
1.010153 -0.3006924 1.010153 0.2868382
0 0 0 0
0 0 0 0.03891892
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
-1.010153 0 -1.010153 0.1038792
0 0 0 0
0 0 0 0
0 0 0 0.07555556
0 0 0 0
-1.010153 0 -1.010153 0.1886631
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 1.010153 1.010153 0.084
-1.441674 0 -1.441957 0.1911273
0 0.05652515 0.03288015 0.2539683
0 0 0 0
0 0.5669124 0.5362854 0.2689855
0 1.010153 1.010153 0.032
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
1.010153 1.010153 1.010153 0.03891892
0 0 0 0
0 0 0 0
0 0 0 0.03888889
0 0 0 0
0 0 0 0
0 0 0 0.03764706
0 0 0 0
0 0 0 0.03428571
0 0 0 0
0 0 0 0
-1.010153 1.010153 0.03448317 0.3263448
0 0 0 0
0 0 0 0
1.010153 0 1.010153 0.03333333
0 0 0 0
0 -1.010153 -1.010153 0.1304036
0 0 0 0
0 1.010153 1.010153 0.2133333
0 0 0 0
0 0 0 0
0 -1.010153 -1.010153 0.03809524
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0.1066667
1.010153 1.010153 1.442072 0.3145949
0 0 0 0
0 0 0 0
-0.2775637 0 -0.08305121 0.2143126
-0.2326211 0 -0.3974078 0.4385302
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 1.010153 1.010153 0.1118709
0 0 0 0
0 0 0 0
0 0 0 0
-1.010153 0 -1.010153 0.04833333
0 0 0 0
0 0 0 0.03846154
0 0 0 0
-1.010153 1.010153 0 0.036
-0.20008 -0.20008 -0.20008 0.2354917
0 1.010153 1.010153 0.1808312
0 1.010153 1.010153 0.07238095
-1.010153 0 -1.010153 0.1472094
0 0 0 0
0 0 0 0
