left_daughter right_daughter split_var split_point status prediction
2 3 21 16.745 1 0
4 5 25 0.17825 1 0
6 7 7 0.04647 1 0
8 9 29 0.357 1 0
10 11 21 11.72 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
12 13 4 693.05 1 0
14 15 22 26.315 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
16 17 14 38.605 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
18 19 8 0.0604 1 0
20 21 20 0.0045735 1 0
22 23 22 32.83 1 0
24 25 28 0.14335 1 0
26 27 8 0.02946 1 0
0 0 0 0 -1 1
0 0 0 0 -1 1
28 29 30 0.079315 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 23 114.4 1 0
4 5 28 0.1603 1 0
6 7 5 0.077325 1 0
8 9 24 768.1 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
10 11 14 91.555 1 0
12 13 1 14.505 1 0
14 15 25 0.19055 1 0
0 0 0 0 -1 2
16 17 15 0.004647 1 0
18 19 21 17.135 1 0
20 21 14 47.035 1 0
22 23 1 10.313 1 0
24 25 24 803.8 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
26 27 22 33.35 1 0
28 29 12 1.9375 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
30 31 22 33.8 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 23 109.45 1 0
4 5 7 0.1037 1 0
6 7 12 0.48885 1 0
8 9 24 884.25 1 0
10 11 16 0.035385 1 0
0 0 0 0 -1 1
12 13 8 0.03078 1 0
14 15 11 0.62555 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
16 17 7 0.1127 1 0
18 19 27 0.17145 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 28 0.15095 1 0
4 5 24 869.3 1 0
6 7 24 675.25 1 0
8 9 23 115.2 1 0
10 11 15 0.005088 1 0
12 13 22 24.845 1 0
0 0 0 0 -1 2
14 15 22 33.27 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
16 17 13 6.436 1 0
18 19 28 0.09229 1 0
20 21 22 29.205 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
22 23 23 101.35 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 23 109.95 1 0
4 5 29 0.4141 1 0
6 7 12 0.52355 1 0
8 9 14 38.605 1 0
0 0 0 0 -1 2
10 11 9 0.1689 1 0
12 13 21 16.745 1 0
14 15 15 0.003384 1 0
16 17 20 0.003566 1 0
