-1 1 MeanDecreaseAccuracy MeanDecreaseGini
4.79253 0.5376478 4.540007 1.268869
5.671357 4.470078 7.173032 2.087004
2.196473 -1.537319 2.032644 0.3596682
4.617921 -0.417091 4.694921 0.8589479
0.08232758 5.399955 4.934522 0.8690084
-1.402246 1.97042 1.038712 0.3693007
2.977871 3.33106 4.260904 0.6511904
6.782943 7.919143 10.60436 10.92354
-1.566166 1.67328 0.3700063 0.2930249
1.164902 0.2092002 1.20573 0.2814635
7.820076 5.82638 9.746995 1.944761
4.667021 2.258725 4.607103 1.560382
4.956319 3.647647 6.352433 0.9405611
11.43489 3.615713 12.28298 3.404343
-1.575396 -0.7977968 -1.817358 0.7712778
2.044925 0.517699 2.435207 0.3706846
0.7323729 2.274622 2.37903 0.3366473
3.59489 1.540986 3.152302 0.4438744
0.6298211 -1.009411 0.1230118 0.4750844
-0.6787365 2.714702 2.020091 0.7752469
6.804521 5.179039 8.264343 14.50685
10.12867 7.892743 11.46346 4.286779
11.51606 10.05368 14.18345 57.66022
12.03179 10.60884 15.73254 42.67536
5.112947 6.871889 7.511223 3.283734
2.355164 1.327959 3.051938 0.7741257
-0.9542155 5.965607 6.149649 1.387588
12.60996 6.568398 15.12241 16.36117
6.229851 5.013333 6.865291 3.243989
-1.618704 1.082881 -0.9831723 0.3791258
