left_daughter right_daughter split_var split_point status prediction
2 3 24 884.55 1 0
4 5 28 0.13065 1 0
6 7 26 0.17645 1 0
8 9 19 0.009211 1 0
10 11 8 0.056165 1 0
12 13 21 20.2 1 0
14 15 2 15.435 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
16 17 22 29.455 1 0
18 19 18 0.037565 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
20 21 20 0.0032735 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 28 0.1417 1 0
4 5 4 694.5 1 0
6 7 4 573.5 1 0
8 9 22 30.145 1 0
10 11 28 0.12915 1 0
12 13 11 0.27225 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
14 15 22 30.265 1 0
16 17 26 0.17645 1 0
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
18 19 10 0.055 1 0
20 21 2 22.33 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
22 23 27 0.20885 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
24 25 16 0.016775 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 8 0.051805 1 0
4 5 24 957.45 1 0
6 7 22 23.74 1 0
8 9 15 0.003349 1 0
10 11 16 0.021455 1 0
12 13 28 0.155 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
14 15 23 112.3 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2
16 17 27 0.21395 1 0
18 19 10 0.06021 1 0
0 0 0 0 -1 1
20 21 26 0.15715 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
22 23 23 90.16 1 0
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 23 111.6 1 0
4 5 26 0.45355 1 0
6 7 7 0.07214 1 0
8 9 29 0.15655 1 0
10 11 4 433.25 1 0
12 13 24 960.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
14 15 8 0.07202 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
16 17 4 868.9 1 0
18 19 28 0.11085 1 0
20 21 7 0.2331 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
22 23 22 33.23 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
24 25 8 0.02911 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
26 27 10 0.055365 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 8 0.052685 1 0
4 5 4 695.7 1 0
6 7 27 0.22325 1 0
8 9 24 884.3 1 0
10 11 24 957.45 1 0
0 0 0 0 -1 1
12 13 22 24.87 1 0
14 15 23 101.65 1 0
16 17 24 906.55 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
18 19 24 890.3 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
20 21 5 0.100975 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
22 23 9 0.20865 1 0
0 0 0 0 -1 2
24 25 13 1.584 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
26 27 14 20.255 1 0
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 23 106.05 1 0
4 5 25 0.17725 1 0
6 7 27 0.26215 1 0
8 9 13 6.088 1 0
10 11 21 14.135 1 0
12 13 3 108.85 1 0
14 15 7 0.08316 1 0
16 17 19 0.049125 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
18 19 6 0.066905 1 0
0 0 0 0 -1 2
20 21 2 18.085 1 0
0 0 0 0 -1 2
22 23 10 0.054225 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2
24 25 20 0.0021955 1 0
26 27 22 33.35 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
28 29 22 33.8 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 21 16.8 1 0
4 5 27 0.39945 1 0
6 7 7 0.07214 1 0
8 9 28 0.1445 1 0
10 11 8 0.044685 1 0
12 13 21 17.755 1 0
0 0 0 0 -1 2
14 15 13 6.436 1 0
16 17 24 818.1 1 0
0 0 0 0 -1 1
18 19 26 0.44495 1 0
0 0 0 0 -1 1
20 21 16 0.020535 1 0
22 23 28 0.1347 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
24 25 1 14.265 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
26 27 13 2.7955 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 21 16.765 1 0
4 5 28 0.142 1 0
6 7 22 20.505 1 0
8 9 29 0.15655 1 0
10 11 3 71.815 1 0
12 13 9 0.21175 1 0
14 15 30 0.060315 1 0
0 0 0 0 -1 2
16 17 15 0.003349 1 0
0 0 0 0 -1 1
18 19 5 0.085185 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
20 21 25 0.10655 1 0
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 21 17.615 1 0
4 5 8 0.06381 1 0
0 0 0 0 -1 2
6 7 22 29.985 1 0
8 9 23 96.695 1 0
10 11 30 0.055995 1 0
12 13 7 0.072925 1 0
0 0 0 0 -1 1
14 15 29 0.2477 1 0
0 0 0 0 -1 2
16 17 4 772.2 1 0
18 19 15 0.0040275 1 0
20 21 9 0.14985 1 0
0 0 0 0 -1 1
22 23 7 0.10558 1 0
0 0 0 0 -1 1
24 25 15 0.0085815 1 0
0 0 0 0 -1 2
26 27 8 0.025405 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
28 29 27 0.20885 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 8 0.052685 1 0
4 5 24 960.5 1 0
6 7 22 18.405 1 0
8 9 22 32.78 1 0
10 11 20 0.001574 1 0
12 13 12 0.69775 1 0
14 15 21 13.535 1 0
0 0 0 0 -1 1
16 17 24 766.45 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
18 19 20 0.01235 1 0
20 21 2 23.2 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 23 108.55 1 0
4 5 25 0.17765 1 0
6 7 5 0.081995 1 0
8 9 5 0.12545 1 0
10 11 28 0.12495 1 0
12 13 8 0.02539 1 0
14 15 2 15.82 1 0
16 17 15 0.003349 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1
18 19 27 0.36215 1 0
20 21 27 0.206 1 0
22 23 26 0.19335 1 0
24 25 8 0.0608 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
26 27 13 2.4405 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
28 29 13 2.647 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 24 831.6 1 0
4 5 8 0.06381 1 0
6 7 22 20.915 1 0
8 9 20 0.001321 1 0
10 11 30 0.08587 1 0
12 13 19 0.02336 1 0
14 15 27 0.08428 1 0
0 0 0 0 -1 2
16 17 25 0.18795 1 0
0 0 0 0 -1 1
18 19 28 0.1589 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
20 21 27 0.20655 1 0
22 23 26 0.45355 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
24 25 22 29.77 1 0
0 0 0 0 -1 2
26 27 22 31.58 1 0
28 29 30 0.11915 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
30 31 8 0.04901 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
32 33 13 1.4795 1 0
0 0 0 0 -1 2
34 35 24 643.25 1 0
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 21 17.45 1 0
4 5 25 0.1701 1 0
6 7 5 0.076425 1 0
8 9 30 0.055995 1 0
10 11 28 0.12495 1 0
0 0 0 0 -1 1
12 13 2 15.4 1 0
0 0 0 0 -1 2
14 15 3 99.465 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
16 17 1 17.065 1 0
0 0 0 0 -1 2
18 19 23 101.95 1 0
20 21 21 17.08 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
22 23 8 0.07015 1 0
24 25 4 590.6 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
26 27 9 0.1919 1 0
28 29 15 0.007156 1 0
30 31 18 0.014495 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 23 109.45 1 0
4 5 27 0.38415 1 0
6 7 30 0.060315 1 0
8 9 1 14.98 1 0
10 11 5 0.10154 1 0
0 0 0 0 -1 1
12 13 7 0.07945 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
14 15 22 23.2 1 0
16 17 22 23.495 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 23 110.2 1 0
4 5 26 0.4554 1 0
6 7 12 0.4645 1 0
8 9 13 6.342 1 0
10 11 11 0.20695 1 0
0 0 0 0 -1 1
12 13 2 14.515 1 0
14 15 25 0.1783 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
16 17 20 0.003249 1 0
0 0 0 0 -1 2
18 19 21 15.89 1 0
20 21 21 11.705 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
22 23 22 33.35 1 0
24 25 22 29.68 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
26 27 28 0.09229 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 1 15.285 1 0
4 5 25 0.15545 1 0
6 7 14 28.015 1 0
8 9 26 0.45065 1 0
10 11 1 12.07 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
12 13 24 893.65 1 0
14 15 4 561.05 1 0
16 17 8 0.056165 1 0
0 0 0 0 -1 2
18 19 8 0.058085 1 0
20 21 9 0.14725 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
22 23 16 0.038375 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
24 25 9 0.17645 1 0
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 28 0.1456 1 0
4 5 21 16.8 1 0
6 7 17 0.2158 1 0
8 9 23 101.95 1 0
10 11 2 16.815 1 0
12 13 5 0.090105 1 0
0 0 0 0 -1 1
0 0 0 0 -1 1
14 15 2 20.67 1 0
0 0 0 0 -1 1
16 17 30 0.060415 1 0
18 19 4 819.45 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
20 21 14 33.385 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 8 0.051805 1 0
4 5 21 16.83 1 0
