left_daughter right_daughter split_var split_point status prediction
2 3 28 0.142 1 0
4 5 1 15.08 1 0
6 7 22 22.85 1 0
8 9 22 34.255 1 0
10 11 25 0.08798 1 0
12 13 11 0.291 1 0
0 0 0 0 -1 2
14 15 19 0.009211 1 0
16 17 28 0.10624 1 0
0 0 0 0 -1 1
18 19 22 19.91 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
20 21 28 0.1347 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
22 23 14 48.975 1 0
24 25 7 0.090235 1 0
26 27 20 0.001315 1 0
28 29 7 0.028985 1 0
30 31 15 0.004647 1 0
0 0 0 0 -1 1
32 33 20 0.0012525 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 21 16.795 1 0
4 5 28 0.13505 1 0
6 7 2 14.135 1 0
8 9 14 48.975 1 0
10 11 17 0.056225 1 0
12 13 20 0.003249 1 0
14 15 27 0.2046 1 0
16 17 22 30.145 1 0
18 19 22 20.865 1 0
20 21 7 0.09779 1 0
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2
22 23 17 0.027725 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
24 25 20 0.0013145 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
26 27 18 0.01425 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
28 29 25 0.13795 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
30 31 18 0.0091265 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 24 877.9 1 0
4 5 7 0.1207 1 0
6 7 13 1.8645 1 0
8 9 14 48.975 1 0
10 11 28 0.1589 1 0
12 13 17 0.01632 1 0
14 15 28 0.088085 1 0
16 17 29 0.3615 1 0
18 19 26 0.08476 1 0
20 21 10 0.06725 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2
22 23 15 0.003309 1 0
24 25 3 85.365 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
26 27 14 15.945 1 0
28 29 8 0.0501 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
30 31 19 0.015275 1 0
32 33 4 636.75 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 21 16.79 1 0
4 5 25 0.15295 1 0
6 7 2 14.135 1 0
8 9 29 0.35935 1 0
10 11 23 89.95 1 0
12 13 5 0.11016 1 0
14 15 11 0.18995 1 0
16 17 14 48.975 1 0
18 19 12 1.05815 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
20 21 27 0.1981 1 0
22 23 25 0.13785 1 0
24 25 7 0.028985 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
26 27 26 0.1598 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
28 29 21 14.465 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
30 31 14 28.86 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 28 0.14125 1 0
4 5 3 102.85 1 0
6 7 11 0.24125 1 0
8 9 11 0.6431 1 0
10 11 11 0.3197 1 0
12 13 29 0.36055 1 0
14 15 21 16.34 1 0
16 17 27 0.3729 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
18 19 22 26.345 1 0
0 0 0 0 -1 2
20 21 24 927.1 1 0
22 23 28 0.1267 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
24 25 22 33.27 1 0
26 27 18 0.00823 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
28 29 2 23.2 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 7 0.1027 1 0
4 5 24 968.7 1 0
6 7 24 586.15 1 0
8 9 28 0.1603 1 0
10 11 10 0.052875 1 0
12 13 17 0.03892 1 0
14 15 17 0.13565 1 0
16 17 24 777.4 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1
18 19 28 0.1235 1 0
0 0 0 0 -1 1
20 21 14 48.975 1 0
22 23 23 102.7 1 0
24 25 15 0.010268 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
26 27 25 0.13755 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
28 29 22 34.32 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 21 17.51 1 0
4 5 7 0.1075 1 0
6 7 23 116.8 1 0
8 9 2 21.575 1 0
10 11 5 0.097075 1 0
12 13 26 0.17645 1 0
0 0 0 0 -1 2
14 15 28 0.16045 1 0
16 17 21 14.43 1 0
0 0 0 0 -1 1
18 19 27 0.3514 1 0
