-1 1 MeanDecreaseAccuracy MeanDecreaseGini
6.171772 3.295267 6.292685 5.939255
6.410718 5.77396 8.404602 2.244376
5.611983 2.768963 5.905701 7.251134
6.901756 1.944435 7.082142 3.915525
2.959926 4.450106 5.103209 1.211946
2.175559 1.780775 2.816054 0.6244623
4.979481 3.890426 5.992755 3.712624
6.237633 5.711088 8.633929 15.90817
1.117236 2.614725 2.87338 0.5405668
2.857618 -0.1924941 2.515653 0.4600497
7.665128 4.523338 8.813251 1.71532
1.24898 -0.4250116 0.9152512 0.7539541
4.610868 3.156979 5.398817 1.101375
9.8914 3.775296 10.45002 2.351412
-0.8694719 1.021201 -0.1415163 0.8107988
0.614888 -0.1219104 0.5053084 0.3686827
0.8149899 2.015703 2.391684 0.7163293
1.016244 -1.160957 -0.3515832 0.5486226
1.5219 0.8491945 1.744565 0.7802195
-0.2667325 -2.591593 -1.902587 0.9241529
10.78821 7.066141 12.2444 27.79332
6.559877 8.105751 8.879321 2.793163
10.08028 6.357823 11.25044 28.11565
9.964286 8.01985 11.35786 26.00399
4.820726 4.643679 7.060308 2.862847
4.635926 2.496049 5.265884 1.743585
5.545303 6.65352 8.678339 3.320964
13.3247 9.39299 15.92083 29.73524
3.014832 3.77982 4.811825 1.768809
2.661987 -0.02356563 2.578068 0.7607137
