left_daughter right_daughter split_var split_point status prediction
2 3 7 0.08648 1 0
4 5 23 127.2 1 0
6 7 21 15.725 1 0
8 9 15 0.0033965 1 0
0 0 0 0 -1 2
10 11 22 29.655 1 0
0 0 0 0 -1 2
12 13 2 18 1 0
14 15 28 0.137 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
16 17 11 0.25965 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 8 0.05593 1 0
4 5 24 952.9 1 0
6 7 23 97.765 1 0
8 9 23 107.05 1 0
10 11 26 0.1743 1 0
0 0 0 0 -1 1
12 13 27 0.19865 1 0
0 0 0 0 -1 1
14 15 5 0.09125 1 0
16 17 12 0.9507 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
18 19 22 16.51 1 0
0 0 0 0 -1 1
20 21 27 0.26355 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
22 23 22 20.355 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 23 110.2 1 0
4 5 26 0.3826 1 0
6 7 28 0.08502 1 0
8 9 8 0.074435 1 0
10 11 25 0.1425 1 0
0 0 0 0 -1 1
12 13 24 766.55 1 0
14 15 23 102.05 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
16 17 23 112.55 1 0
0 0 0 0 -1 1
18 19 2 20.41 1 0
20 21 16 0.02209 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
22 23 1 14.43 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 23 112.65 1 0
4 5 7 0.097595 1 0
6 7 26 0.17515 1 0
8 9 24 889.85 1 0
10 11 19 0.025185 1 0
12 13 26 0.16535 1 0
14 15 12 0.45655 1 0
0 0 0 0 -1 1
16 17 13 2.3435 1 0
18 19 14 17.755 1 0
0 0 0 0 -1 1
20 21 28 0.09158 1 0
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
22 23 28 0.2116 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 23 104.95 1 0
4 5 28 0.13885 1 0
6 7 8 0.048865 1 0
8 9 24 782.7 1 0
10 11 12 1.0215 1 0
12 13 21 16.83 1 0
14 15 2 15.345 1 0
0 0 0 0 -1 1
16 17 24 790.8 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
18 19 4 817.95 1 0
20 21 12 0.69885 1 0
22 23 17 0.13565 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
24 25 18 0.006367 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 8 0.05608 1 0
4 5 3 98.545 1 0
6 7 26 0.18165 1 0
8 9 7 0.097595 1 0
10 11 16 0.02462 1 0
12 13 5 0.10187 1 0
14 15 24 718.65 1 0
16 17 23 115.4 1 0
18 19 8 0.044765 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
20 21 16 0.07452 1 0
0 0 0 0 -1 2
22 23 21 16.88 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
24 25 15 0.003309 1 0
26 27 21 17.085 1 0
28 29 24 803.8 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 23 105.95 1 0
4 5 25 0.2052 1 0
6 7 8 0.048865 1 0
8 9 7 0.13255 1 0
0 0 0 0 -1 2
10 11 11 0.40215 1 0
12 13 7 0.085885 1 0
0 0 0 0 -1 1
14 15 19 0.018375 1 0
16 17 15 0.0030485 1 0
18 19 14 45.845 1 0
20 21 2 15.485 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 23 104 1 0
4 5 28 0.2116 1 0
6 7 28 0.13985 1 0
8 9 10 0.05611 1 0
0 0 0 0 -1 2
10 11 25 0.12455 1 0
0 0 0 0 -1 2
12 13 27 0.19805 1 0
0 0 0 0 -1 1
14 15 3 98.92 1 0
