-1 1 MeanDecreaseAccuracy MeanDecreaseGini
3.127338 2.738905 4.006886 1.812546
3.906382 8.098673 8.72957 2.790915
4.638764 2.505225 5.334815 6.523446
3.651743 1.651868 3.967295 2.073309
2.554789 3.675334 4.042535 0.7319865
2.493238 3.007089 4.214251 1.086878
6.208409 5.720154 8.395531 10.10947
5.640579 8.219295 9.94455 18.96393
-1.284555 2.177303 1.64012 0.412622
2.721249 -0.6792501 2.059956 0.4356586
1.128774 2.913264 2.956653 0.7063834
0.8493112 0.6573231 1.220698 0.4995914
-0.6735629 2.062259 1.891116 0.1933823
3.817258 3.717973 4.933608 4.113424
2.811336 0.4762549 2.784384 0.8648538
-0.4015568 -0.314507 -0.6608782 0.5009104
-0.3012032 2.795809 2.7703 0.7641102
2.822123 1.2574 2.419918 0.3916234
-0.7607047 -0.1886186 -0.6371173 0.3464891
1.312958 0.4253929 1.318135 0.5816209
10.15051 8.281546 12.09045 25.18979
3.877314 5.618255 6.376943 2.172081
10.37627 11.44087 14.2068 39.65084
8.054121 7.5039 10.38116 14.22411
4.268281 5.502555 6.617116 1.821801
4.784495 4.863014 6.801038 2.660465
4.360281 8.104652 9.503248 3.933618
9.770235 8.603071 13.55978 28.99036
3.534546 1.875991 3.767573 1.367127
2.095881 0.9867188 2.227208 0.7745392
