left_daughter right_daughter split_var split_point status prediction
2 3 7 1.575 1 0
4 5 11 1.005 1 0
6 7 13 707.5 1 0
8 9 1 12.085 1 0
0 0 0 0 -1 2
10 11 5 100.5 1 0
12 13 10 3.465 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
14 15 10 3.655 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 10 4.85 1 0
4 5 13 726.5 1 0
6 7 12 2.6 1 0
8 9 12 1.555 1 0
10 11 2 1.295 1 0
0 0 0 0 -1 3
12 13 2 1.245 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 12 1.965 1 0
4 5 11 1.005 1 0
6 7 13 726.5 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
8 9 7 0.795 1 0
10 11 10 3.525 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
12 13 11 0.78 1 0
0 0 0 0 -1 3
0 0 0 0 -1 1

2 3 10 3.82 1 0
0 0 0 0 -1 2
4 5 7 1.58 1 0
0 0 0 0 -1 3
6 7 13 679 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 10 3.97 1 0
4 5 4 15.75 1 0
6 7 12 2.52 1 0
8 9 3 1.73 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
10 11 1 13.175 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
12 13 13 826 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 13 760 1 0
4 5 12 1.925 1 0
6 7 12 2.12 1 0
8 9 11 1.005 1 0
10 11 7 0.925 1 0
0 0 0 0 -1 3
12 13 5 133 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 10 3.97 1 0
4 5 3 3 1 0
6 7 12 2.52 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
8 9 7 1.42 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
0 0 0 0 -1 2

2 3 10 4.02 1 0
4 5 13 1002.5 1 0
6 7 7 1.785 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 3
8 9 13 724 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 7 1.225 1 0
4 5 11 1.005 1 0
6 7 1 12.815 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
8 9 13 655 1 0
10 11 13 572.5 1 0
12 13 9 0.93 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 10 3.82 1 0
0 0 0 0 -1 2
4 5 7 1.42 1 0
0 0 0 0 -1 3
6 7 13 679 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 11 0.79 1 0
4 5 13 397.5 1 0
6 7 13 726.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
8 9 7 0.565 1 0
10 11 10 3.465 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 13 765 1 0
4 5 10 4.76 1 0
6 7 7 2.235 1 0
8 9 12 1.555 1 0
10 11 6 2.75 1 0
12 13 12 2.8 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2

2 3 7 1.43 1 0
4 5 10 3.585 1 0
6 7 13 655 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
8 9 7 2.25 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 10 3.79 1 0
4 5 3 3 1 0
6 7 12 2.41 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
8 9 9 1.82 1 0
10 11 1 12.65 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 12 1.92 1 0
4 5 11 1.005 1 0
6 7 13 749 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
8 9 10 4.86 1 0
10 11 9 0.945 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 3
12 13 10 3.465 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 13 760 1 0
4 5 12 1.925 1 0
6 7 7 2.275 1 0
8 9 2 1.09 1 0
10 11 7 0.745 1 0
12 13 6 2.64 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2

2 3 12 2.205 1 0
4 5 10 3.9 1 0
6 7 13 726.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
8 9 6 3.34 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 10 4.095 1 0
4 5 3 2.98 1 0
6 7 7 1.58 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 3
8 9 13 706.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 10 3.49 1 0
0 0 0 0 -1 2
4 5 7 1.225 1 0
0 0 0 0 -1 3
6 7 13 679 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 13 710 1 0
4 5 12 1.965 1 0
6 7 7 1.815 1 0
8 9 11 0.93 1 0
10 11 7 0.925 1 0
12 13 8 0.54 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 3
14 15 1 13.175 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 10 3.97 1 0
4 5 3 2.98 1 0
6 7 12 2.475 1 0
8 9 4 15.75 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
10 11 2 1.325 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 10 3.49 1 0
0 0 0 0 -1 2
4 5 12 2.475 1 0
6 7 7 1.42 1 0
8 9 13 591 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 10 3.49 1 0
0 0 0 0 -1 2
4 5 7 1.58 1 0
6 7 4 17 1 0
8 9 13 706.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 13 877.5 1 0
4 5 10 4.79 1 0
0 0 0 0 -1 1
6 7 13 726.5 1 0
8 9 4 26.75 1 0
10 11 6 1.57 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2

2 3 10 3.97 1 0
4 5 1 13.585 1 0
6 7 7 1.395 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 3
8 9 13 597.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 13 1002.5 1 0
4 5 12 1.965 1 0
0 0 0 0 -1 1
6 7 10 2.975 1 0
8 9 1 13.145 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
10 11 9 0.925 1 0
12 13 10 3.87 1 0
0 0 0 0 -1 3
14 15 13 774 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
16 17 2 1.86 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 7 0.955 1 0
4 5 10 2.975 1 0
6 7 13 760 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
8 9 12 1.615 1 0
10 11 1 12.445 1 0
0 0 0 0 -1 3
12 13 2 3.92 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
14 15 11 0.805 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 10 3.72 1 0
0 0 0 0 -1 2
4 5 11 0.9 1 0
0 0 0 0 -1 3
6 7 13 706.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 10 3.82 1 0
4 5 3 3 1 0
6 7 7 1.58 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 3
8 9 13 597.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 12 1.88 1 0
0 0 0 0 -1 3
4 5 13 760 1 0
6 7 5 114 1 0
8 9 7 2.235 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
10 11 4 20.5 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
0 0 0 0 -1 2

2 3 12 1.88 1 0
0 0 0 0 -1 3
4 5 1 13.06 1 0
6 7 13 740 1 0
8 9 10 3.54 1 0
10 11 7 0.795 1 0
12 13 10 3.465 1 0
0 0 0 0 -1 2
14 15 5 90 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1
16 17 13 641 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 3

2 3 1 12.41 1 0
4 5 12 1.7 1 0
6 7 6 2.36 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
8 9 7 1.58 1 0
10 11 10 3.435 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
12 13 13 591 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 12 2.02 1 0
0 0 0 0 -1 3
4 5 13 987.5 1 0
6 7 7 0.795 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
8 9 10 4.05 1 0
0 0 0 0 -1 2
10 11 13 679 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 10 3.79 1 0
4 5 13 1002.5 1 0
6 7 7 1.58 1 0
8 9 3 3 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
10 11 13 679 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 10 3.79 1 0
4 5 3 2.98 1 0
6 7 7 1.785 1 0
8 9 13 1002.5 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
10 11 13 622.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 13 903 1 0
4 5 7 1.58 1 0
6 7 1 13.02 1 0
8 9 10 3.7 1 0
10 11 1 13.175 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 3
12 13 5 101.5 1 0
14 15 13 576 1 0
0 0 0 0 -1 2
16 17 2 2.925 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 7 0.975 1 0
4 5 2 1.665 1 0
6 7 10 3.82 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
8 9 13 1002.5 1 0
10 11 13 706.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
12 13 11 0.585 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
0 0 0 0 -1 2

2 3 12 1.925 1 0
4 5 9 0.53 1 0
6 7 13 726.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
8 9 2 3.92 1 0
10 11 10 3.8 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
12 13 9 1.04 1 0
0 0 0 0 -1 3
0 0 0 0 -1 1

2 3 12 1.925 1 0
0 0 0 0 -1 3
4 5 1 13.04 1 0
6 7 9 0.89 1 0
8 9 9 1.14 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
10 11 10 4.67 1 0
12 13 2 4.89 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 7 0.975 1 0
0 0 0 0 -1 3
4 5 13 760 1 0
6 7 2 3.925 1 0
8 9 7 2.275 1 0
0 0 0 0 -1 2
10 11 9 1.505 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 12 1.925 1 0
0 0 0 0 -1 3
4 5 13 765 1 0
6 7 7 0.875 1 0
8 9 8 0.15 1 0
0 0 0 0 -1 3
10 11 3 2.825 1 0
0 0 0 0 -1 2
12 13 7 1.415 1 0
14 15 2 3.925 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
0 0 0 0 -1 1
0 0 0 0 -1 2
16 17 7 2.64 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 13 927.5 1 0
4 5 12 1.88 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
6 7 13 765 1 0
8 9 5 100.5 1 0
10 11 12 2.925 1 0
0 0 0 0 -1 2
12 13 10 3.745 1 0
0 0 0 0 -1 3
0 0 0 0 -1 1
0 0 0 0 -1 2
14 15 1 12.4 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 12 1.925 1 0
0 0 0 0 -1 3
4 5 13 760 1 0
6 7 1 13.145 1 0
0 0 0 0 -1 1
8 9 6 1.575 1 0
10 11 10 3.745 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 13 760 1 0
4 5 7 1.105 1 0
6 7 11 0.78 1 0
0 0 0 0 -1 3
8 9 10 4.15 1 0
0 0 0 0 -1 3
0 0 0 0 -1 1
0 0 0 0 -1 2
10 11 2 3.92 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 13 857.5 1 0
4 5 7 0.975 1 0
6 7 1 13.02 1 0
8 9 11 1.005 1 0
10 11 13 790 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 7 1.105 1 0
0 0 0 0 -1 3
4 5 13 772.5 1 0
6 7 11 0.615 1 0
8 9 10 3.465 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 10 3.49 1 0
0 0 0 0 -1 2
4 5 7 1.785 1 0
6 7 10 3.9 1 0
8 9 13 679 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
