-1 1 MeanDecreaseAccuracy MeanDecreaseGini
3.030071 3.383779 0.2724484 4.075161 2.857338
1.467116 0.4389578 1.161848 1.333958 0.9462874
1.005038 1.751708 1.005038 1.418515 0.5260833
0.3495293 1.0543 1.155221 1.530217 0.2968495
1.629602 0.9830073 1.005038 1.770544 0.3476777
1.745406 0.312824 2.244986 2.273962 1.135064
8.606075 6.541923 9.032349 11.1428 14.98869
1.337525 -1.005038 -0.1407334 0.3249388 0.1602858
2.028315 0.3399406 2.010435 2.731396 0.5064543
8.389988 8.976253 8.929647 11.95199 16.84784
2.558622 2.51454 4.853753 4.706459 1.881716
5.769746 5.665673 7.55401 8.071966 13.03932
17.41399 10.79662 2.593769 18.96868 22.18691
