left_daughter right_daughter split_var split_point status prediction
2 3 13 1015 1 0
4 5 11 0.725 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
6 7 7 0.97 1 0
8 9 2 1.95 1 0
10 11 5 108.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
12 13 1 13.495 1 0
14 15 1 13.02 1 0
0 0 0 0 -1 2
16 17 6 2.74 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 12 2.125 1 0
4 5 11 0.925 1 0
6 7 1 13.06 1 0
8 9 9 1.59 1 0
10 11 13 600 1 0
12 13 9 0.98 1 0
14 15 4 22 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
16 17 7 0.93 1 0
0 0 0 0 -1 3
18 19 4 14.2 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 6 2.405 1 0
4 5 12 1.935 1 0
6 7 10 3.385 1 0
8 9 11 0.878 1 0
10 11 7 0.895 1 0
0 0 0 0 -1 2
12 13 10 9.485 1 0
0 0 0 0 -1 3
14 15 2 2.435 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
16 17 3 3.225 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 1 12.745 1 0
4 5 12 1.555 1 0
6 7 11 0.865 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
8 9 3 2.14 1 0
10 11 6 2.335 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 3
12 13 8 0.215 1 0
14 15 13 585 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
16 17 6 3.15 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 11 0.83 1 0
4 5 1 12.12 1 0
6 7 10 3.925 1 0
0 0 0 0 -1 2
8 9 10 3.225 1 0
10 11 1 13.495 1 0
12 13 5 89.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
14 15 2 1.66 1 0
0 0 0 0 -1 2
16 17 12 2.315 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 3
18 19 8 0.45 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 7 1.425 1 0
4 5 3 1.73 1 0
6 7 5 90.5 1 0
0 0 0 0 -1 2
8 9 2 1.96 1 0
0 0 0 0 -1 2
10 11 10 3.435 1 0
12 13 13 755 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
14 15 13 672.5 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 1

2 3 10 3.925 1 0
4 5 13 953 1 0
6 7 9 1.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
8 9 2 1.23 1 0
10 11 6 1.925 1 0
0 0 0 0 -1 2
12 13 4 17.75 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 3

2 3 10 3.49 1 0
0 0 0 0 -1 2
4 5 7 1.465 1 0
0 0 0 0 -1 3
6 7 1 12.885 1 0
0 0 0 0 -1 2
8 9 5 88 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 10 3.46 1 0
0 0 0 0 -1 2
4 5 12 2.475 1 0
0 0 0 0 -1 3
6 7 6 2.3 1 0
8 9 10 4.8 1 0
10 11 5 89.5 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 13 755 1 0
4 5 10 4.85 1 0
6 7 10 3.435 1 0
8 9 7 0.52 1 0
10 11 12 2.9 1 0
0 0 0 0 -1 2
12 13 12 2.285 1 0
0 0 0 0 -1 3
