-1 1 MeanDecreaseAccuracy MeanDecreaseGini
22.51762 17.84882 4.270995 23.91955 8.786491
6.060674 5.410473 10.48274 11.54518 2.02667
2.897515 3.842642 1.405555 4.746812 0.7011545
9.202774 2.562216 8.914756 11.92543 2.491824
13.12668 9.0356 2.125593 13.52781 2.073451
12.14002 -1.519539 8.892069 12.23544 2.874212
26.33128 10.61437 32.08837 34.77556 14.99293
4.746834 -0.4633073 3.076555 4.754206 0.5291325
5.729262 3.28964 8.788501 10.46442 1.529329
22.52903 25.95731 26.66396 34.52484 13.77533
12.16437 10.01267 17.22084 19.40962 5.438942
19.14095 8.187241 21.65553 23.42787 10.06871
30.75045 18.87925 9.800076 31.88057 11.60487
