left_daughter right_daughter split_var split_point status prediction
2 3 1 12.745 1 0
4 5 7 1.03 1 0
6 7 6 2.075 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
8 9 8 0.585 1 0
10 11 10 3.45 1 0
0 0 0 0 -1 3
12 13 9 1.585 1 0
0 0 0 0 -1 2
14 15 13 655 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 7 1.465 1 0
4 5 12 2.415 1 0
6 7 13 722.5 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
8 9 1 13.075 1 0
10 11 12 3.565 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 1 12.755 1 0
4 5 7 0.97 1 0
6 7 6 2.3 1 0
0 0 0 0 -1 3
8 9 11 0.785 1 0
10 11 11 0.97 1 0
12 13 4 23 1 0
14 15 3 2.325 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 1
16 17 6 2.875 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 3
0 0 0 0 -1 2

2 3 11 0.785 1 0
0 0 0 0 -1 3
4 5 13 724.5 1 0
6 7 12 2.185 1 0
8 9 1 12.66 1 0
10 11 1 13.25 1 0
12 13 13 679 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
14 15 13 542.5 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
16 17 10 4.13 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 7 0.99 1 0
0 0 0 0 -1 3
4 5 1 12.755 1 0
6 7 9 0.895 1 0
8 9 13 655 1 0
10 11 5 103.5 1 0
0 0 0 0 -1 2
12 13 6 1.565 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 3
0 0 0 0 -1 2

2 3 1 12.65 1 0
4 5 12 1.625 1 0
6 7 6 2.3 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
8 9 11 0.97 1 0
10 11 11 1.32 1 0
12 13 9 1.59 1 0
0 0 0 0 -1 2
14 15 11 0.775 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
16 17 11 0.65 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3
0 0 0 0 -1 2

2 3 1 12.755 1 0
4 5 11 0.84 1 0
6 7 12 2.495 1 0
8 9 10 4.47 1 0
0 0 0 0 -1 2
10 11 10 4.85 1 0
12 13 3 2.135 1 0
14 15 9 1.285 1 0
0 0 0 0 -1 3
16 17 5 95.5 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 3

2 3 13 755 1 0
4 5 2 2.565 1 0
6 7 1 12.66 1 0
0 0 0 0 -1 2
8 9 9 1.61 1 0
10 11 1 12.27 1 0
0 0 0 0 -1 1
12 13 10 3.225 1 0
14 15 1 13.145 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 10 3.825 1 0
4 5 12 3.66 1 0
6 7 11 0.875 1 0
8 9 7 2.665 1 0
0 0 0 0 -1 1
10 11 12 2.575 1 0
12 13 13 747 1 0
0 0 0 0 -1 2
14 15 6 2.74 1 0
16 17 8 0.605 1 0
18 19 13 516 1 0
20 21 12 2.15 1 0
0 0 0 0 -1 1
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 3
22 23 5 89 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1
24 25 10 5.815 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 3

2 3 1 12.525 1 0
4 5 9 1.145 1 0
6 7 7 1.335 1 0
0 0 0 0 -1 3
8 9 8 0.54 1 0
0 0 0 0 -1 3
10 11 13 655 1 0
0 0 0 0 -1 2
12 13 11 0.805 1 0
0 0 0 0 -1 2
14 15 6 2.305 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 13 950.5 1 0
4 5 7 1.465 1 0
0 0 0 0 -1 1
6 7 11 0.888 1 0
8 9 4 18.25 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
10 11 1 13.135 1 0
0 0 0 0 -1 2
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 13 755 1 0
4 5 6 1.76 1 0
6 7 1 12.57 1 0
8 9 13 522.5 1 0
10 11 11 0.68 1 0
0 0 0 0 -1 2
12 13 4 27.5 1 0
14 15 12 1.74 1 0
0 0 0 0 -1 3
0 0 0 0 -1 3
16 17 10 4.15 1 0
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
