-1 1 MeanDecreaseAccuracy MeanDecreaseGini
8.377448 5.52232 1.19799 8.42836 9.57716
2.841922 0.02683629 2.398759 3.016981 1.608645
0.695335 0.8745867 1.874377 2.164892 0.9946321
1.888204 1.256104 2.575864 3.266874 1.198183
2.591168 2.827588 1.968261 3.353703 1.444191
4.424779 -1.039843 3.419182 4.424604 3.966033
6.552245 4.571263 10.01594 11.05961 15.4856
1.50547 0.4143156 -0.464347 1.006896 0.5334619
2.642023 0.05941123 3.366356 3.81218 0.9978966
6.912397 7.54681 6.641462 9.331378 11.48715
3.895526 3.039211 5.961287 6.677897 5.317246
5.607174 2.754948 6.825017 7.722776 8.613382
10.70454 5.860902 4.073785 11.49391 14.76549
