left_daughter right_daughter split_var split_point status prediction
2 3 13 760 1 0
4 5 7 1.005 1 0
6 7 1 13.02 1 0
0 0 0 0 -1 3
8 9 10 6.2 1 0
10 11 10 3.925 1 0
12 13 7 1.44 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 3
0 0 0 0 -1 1

2 3 1 12.47 1 0
4 5 7 0.97 1 0
6 7 12 2.475 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
8 9 10 4.1 1 0
10 11 10 3.54 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
12 13 6 2.175 1 0
0 0 0 0 -1 2
0 0 0 0 -1 1

2 3 7 1.41 1 0
4 5 1 12.1 1 0
6 7 4 17.75 1 0
0 0 0 0 -1 2
8 9 11 0.898 1 0
0 0 0 0 -1 1
10 11 3 2.605 1 0
0 0 0 0 -1 3
12 13 6 1.465 1 0
0 0 0 0 -1 2
14 15 9 1.15 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
16 17 5 112.5 1 0
0 0 0 0 -1 1
0 0 0 0 -1 3

2 3 13 755 1 0
4 5 12 2.19 1 0
6 7 6 1.925 1 0
8 9 9 0.65 1 0
0 0 0 0 -1 2
10 11 5 102.5 1 0
12 13 7 2.3 1 0
0 0 0 0 -1 2
14 15 9 1.59 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 2
16 17 6 3.275 1 0
0 0 0 0 -1 3
18 19 13 577.5 1 0
0 0 0 0 -1 1
20 21 3 2.55 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 1
0 0 0 0 -1 2

2 3 1 13.185 1 0
4 5 7 1.4 1 0
6 7 12 2.52 1 0
8 9 3 2.065 1 0
10 11 10 3.5 1 0
12 13 3 2.055 1 0
14 15 2 1.54 1 0
0 0 0 0 -1 2
16 17 1 12.445 1 0
0 0 0 0 -1 2
18 19 13 724 1 0
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 1
20 21 13 795 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 1
0 0 0 0 -1 3
0 0 0 0 -1 2

2 3 13 755 1 0
4 5 7 1.575 1 0
6 7 7 1.715 1 0
8 9 3 2.3 1 0
0 0 0 0 -1 2
10 11 6 1.25 1 0
12 13 4 25 1 0
14 15 7 0.835 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 1
0 0 0 0 -1 2
0 0 0 0 -1 3
0 0 0 0 -1 2

2 3 12 2.115 1 0
4 5 8 0.605 1 0
6 7 13 739 1 0
8 9 2 1.6 1 0
0 0 0 0 -1 2
10 11 13 670 1 0
12 13 8 0.355 1 0
14 15 4 19.35 1 0
0 0 0 0 -1 3
0 0 0 0 -1 2
