-1 1 MeanDecreaseAccuracy MeanDecreaseGini
7.342922 5.611668 1.94396 8.100588 10.37288
2.71251 2.574202 2.073423 3.480831 1.316724
2.429375 0.7328927 1.169523 2.253682 0.8816303
3.410764 0.2839862 3.128963 4.559675 1.808957
2.964286 1.951978 0.2297714 3.119517 1.259638
5.428096 0.6329795 3.258936 5.453671 3.68861
7.023689 3.595151 8.664856 9.341435 12.38603
2.895621 -0.7555786 1.367927 2.817021 1.267818
2.840997 -2.244592 2.44942 2.757852 1.474065
6.316811 7.531854 8.020561 10.50022 12.19683
3.635717 1.808721 6.585332 6.318043 5.562089
6.689196 3.609555 7.642233 8.358735 11.12865
10.80064 6.032778 3.983904 11.55128 13.26087
